sample,repetition,group,accession
SRX3338997,1,0.0,IT
SRX3338998,2,0.0,IT
SRX3338999,1,1.0,IT
SRX3339000,2,1.0,IT
SRX3339001,1,2.0,IT
SRX3339002,2,2.0,IT
SRX3339015,1,0.0,SW
SRX3339016,2,0.0,SW
SRX3339017,1,1.0,SW
SRX3339018,2,1.0,SW
SRX3339019,1,2.0,SW
SRX3339020,2,2.0,SW
