"year","month","precipitation_sum","temperature_2m_mean (°C)","soil_moisture_0_to_7cm_mean (m³/m³)","soil_moisture_7_to_28cm_mean (m³/m³)","soil_temperature_0_to_7cm_mean (°C)","soil_temperature_7_to_28cm_mean (°C)","wind_speed_10m_mean (km/h)","relative_humidity_2m_mean (%)","dew_point_2m_mean (°C)","sunshine_duration (s)","date_col","season"
2022,11,39.7,6.31333333333333,0.334533333333333,0.322566666666667,6.47333333333333,7.54,10.59,85.4,3.91333333333333,17270.7073333333,2022-11-15,"Autumn"
2022,12,84.3,2.2,0.369225806451613,0.358645161290323,2.04193548387097,2.51290322580645,12.1387096774194,86.4838709677419,0.0838709677419355,7802.73387096774,2022-12-16,"Winter"
2023,1,53.6,4.53870967741936,0.37441935483871,0.372709677419355,4.44193548387097,5.04516129032258,14.8741935483871,82.0645161290323,1.63548387096774,8643.82709677419,2023-01-16,"Winter"
2023,2,47.1,3.73571428571429,0.372928571428571,0.373964285714286,3.62857142857143,3.86428571428571,13.3321428571429,80.1071428571429,0.478571428571428,16199.4603571429,2023-02-14,"Winter"
2023,3,103.2,6.20967741935484,0.384645161290323,0.384645161290323,5.79354838709677,5.66129032258065,13.7193548387097,76.2903225806452,2.09677419354839,19573.1441935484,2023-03-16,"Spring"
2023,4,50.9,8.09666666666667,0.373066666666667,0.376566666666667,8.42,8.20333333333333,11.91,73,3.17333333333333,26818.5863333333,2023-04-15,"Spring"
2023,5,10.5,13.8,0.255451612903226,0.274677419354839,13.9774193548387,13.1870967741935,10.9064516129032,65.9032258064516,7,41205.925483871,2023-05-16,"Spring"
2023,11,76.8,6.29666666666667,0.376566666666667,0.366066666666667,6.68333333333333,7.74333333333333,15.2433333333333,80.9333333333333,3.14666666666667,12391.4956666667,2023-11-15,"Autumn"
2023,12,113.7,4.49354838709677,0.380193548387097,0.376129032258064,4.20967741935484,4.60645161290323,15.4258064516129,85.5161290322581,2.18387096774194,8766.60774193548,2023-12-16,"Winter"
2024,1,48,1.85483870967742,0.372483870967742,0.375290322580645,1.69677419354839,2.2741935483871,15.2129032258065,78.9677419354839,-1.51612903225806,14124.2419354839,2024-01-16,"Winter"
2024,2,74.9,7.31379310344828,0.386275862068966,0.385793103448276,6.93793103448276,6.86551724137931,14.2758620689655,81.3793103448276,4.19310344827586,14194.0155172414,2024-02-15,"Winter"
2024,3,46.5,7.65806451612903,0.363709677419355,0.364870967741936,7.53548387096774,7.35806451612903,10.5967741935484,78.4516129032258,3.8741935483871,28380.0161290323,2024-03-16,"Spring"
2024,4,47.2,11.0966666666667,0.338633333333333,0.338433333333333,11.16,10.8466666666667,11.7766666666667,71.2666666666667,5.72333333333333,34343.519,2024-04-15,"Spring"
2024,5,65.2,16.3032258064516,0.271483870967742,0.25058064516129,16.5161290322581,15.8032258064516,9.70967741935484,69.3225806451613,10.0903225806452,35884.0406451613,2024-05-16,"Spring"
2024,11,45.9,5.79666666666667,0.354166666666667,0.347566666666667,6.21666666666667,7.26,12.41,83.7333333333333,3.11,12420.7046666667,2024-11-15,"Autumn"
2024,12,35.4,3.56774193548387,0.355064516129032,0.351645161290323,3.47096774193548,4.24516129032258,13.6806451612903,85.4193548387097,1.29354838709677,10897.8961290323,2024-12-16,"Winter"
2025,1,56.1,2.57096774193548,0.347096774193548,0.33858064516129,2.06129032258064,2.43548387096774,14.3129032258065,82.3548387096774,-0.32258064516129,12994.0893548387,2025-01-16,"Winter"
2025,2,23.4,1.33928571428571,0.3445,0.343571428571429,1.225,1.64285714285714,9.12142857142857,79.4642857142857,-2.07857142857143,18916.6603571429,2025-02-14,"Winter"
2025,3,14,5.73225806451613,0.307516129032258,0.320903225806452,5.01290322580645,4.71290322580645,8.91290322580645,75.258064516129,1.31290322580645,30365.1312903226,2025-03-16,"Spring"
2025,4,36.9,11.19,0.172333333333333,0.197266666666667,11.5233333333333,10.3066666666667,9.40333333333333,71.2666666666667,5.75333333333333,37044.1636666667,2025-04-15,"Spring"
2025,5,58.7,13.6838709677419,0.133838709677419,0.151387096774194,14.6709677419355,13.7935483870968,11.5774193548387,63.1935483870968,6.11935483870968,42419.9106451613,2025-05-16,"Spring"
