"year","month","precipitation_sum","temperature_2m_mean...C.","soil_temperature_0_to_7cm_mean...C.","wind_speed_10m_mean..km.h.","relative_humidity_2m_mean....","dew_point_2m_mean...C.","sunshine_duration..s.","precipitation_sum_baseline","temperature_2m_mean...C._baseline","soil_temperature_0_to_7cm_mean...C._baseline","wind_speed_10m_mean..km.h._baseline","relative_humidity_2m_mean...._baseline","dew_point_2m_mean...C._baseline","sunshine_duration..s._baseline","precipitation_sum_anomaly","temperature_2m_mean...C._anomaly","soil_temperature_0_to_7cm_mean...C._anomaly","wind_speed_10m_mean..km.h._anomaly","relative_humidity_2m_mean...._anomaly","dew_point_2m_mean...C._anomaly","sunshine_duration..s._anomaly"
2020,1,79.8,6.01290322580645,5.29354838709677,32.3774193548387,88.6451612903226,4.23225806451613,7677.51709677419,88.65,4.9994623655914,5.44677419354839,32.8064516129032,84.7956989247312,2.58978494623656,10904.6162903226,-8.85000000000001,1.01344086021505,-0.153225806451617,-0.429032258064517,3.84946236559142,1.64247311827957,-3227.09919354839
2020,2,178.3,6.36896551724138,5.81034482758621,40.2413793103448,82.2068965517241,3.48965517241379,16051.3931034483,90.2333333333333,5.12040229885057,5.15896962233169,32.7870279146141,83.2323481116585,2.42875615763547,15415.1050184729,88.0666666666667,1.2485632183908,0.651375205254518,7.45435139573068,-1.02545155993437,1.06089901477832,636.2880849754
2020,3,42.6,6.01935483870968,6.26774193548387,30.2451612903226,76.1290322580645,1.9741935483871,29471.5880645161,48.1666666666667,5.9741935483871,5.77688172043011,26.2672043010753,81.0967741935484,2.86827956989247,27835.6644086021,-5.56666666666667,0.0451612903225831,0.490860215053762,3.97795698924733,-4.9677419354839,-0.894086021505373,1635.92365591397
2020,4,15.4,8.31333333333333,8.22,24.8666666666667,76.8,4.38666666666667,41487.9696666667,44.6166666666667,7.91888888888889,7.97,25.5994444444445,79.1666666666667,4.43111111111111,36561.5592777778,-29.2166666666667,0.394444444444442,0.249999999999999,-0.732777777777766,-2.36666666666666,-0.0444444444444434,4926.41038888891
2020,5,20.9,10.4483870967742,10.8645161290323,23.9193548387097,80.5806451612903,7.16451612903226,45503.0883870968,66.5166666666667,11.3086021505377,11.1951612903226,23.6591397849462,82.1397849462366,8.28817204301076,41772.1284946237,-45.6166666666667,-0.860215053763453,-0.330645161290272,0.260215053763467,-1.55913978494627,-1.1236559139785,3730.95989247315
2020,6,82.5,15.14,14.73,21.87,83.4666666666667,12.2666666666667,43177.108,68.7666666666667,14.97,14.8805555555556,22.0672222222222,83.2166666666667,12.0788888888889,43975.0287777778,13.7333333333333,0.17,-0.150555555555567,-0.197222222222216,0.250000000000014,0.187777777777816,-797.92077777777
2020,7,90.6,16.2193548387097,17.5677419354839,23.3354838709677,78.0322580645161,12.3258064516129,39943.9935483871,100.65,17.1548387096774,17.95,24.2752688172043,80.3172043010753,13.6639784946236,41840.1964516129,-10.05,-0.935483870967715,-0.382258064516098,-0.939784946236585,-2.28494623655916,-1.33817204301075,-1896.2029032258
2020,8,92.9,19.2741935483871,19.6709677419355,23.0774193548387,79.3225806451613,15.5258064516129,41363.0212903226,75.7833333333333,18.2763440860215,19.1327956989247,23.1376344086021,78.8924731182796,14.4779569892473,40774.6396236559,17.1166666666667,0.997849462365615,0.538172043010768,-0.06021505376345,0.430107526881727,1.0478494623656,588.381666666683
2020,9,57.7,16.1733333333333,17.7833333333333,23.58,77.4,12.0933333333333,31752.47,91.8,16.7025757575757,18.0122727272727,24.9336868686869,78.369696969697,12.8233838383838,32037.452010101,-34.1,-0.529242424242433,-0.228939393939434,-1.35368686868687,-0.96969696969694,-0.730050505050549,-284.982010101001
2020,10,137.8,12.5032258064516,14.1225806451613,31.6645161290323,81.0645161290323,9.26129032258065,21275.4374193548,131.8,13.2064516129032,14.641935483871,29.9574193548387,81.2709677419355,9.9767741935484,20498.2663225806,6,-0.703225806451641,-0.51935483870966,1.70709677419358,-0.206451612903209,-0.715483870967752,777.17109677416
2020,11,45.9,9.49666666666667,10.5066666666667,29.31,84.3333333333333,6.92666666666667,15259.2923333333,101.92,9.04133333333334,11.214,30.6806666666667,82.72,6.18533333333333,12480.247,-56.02,0.455333333333334,-0.707333333333301,-1.37066666666668,1.6133333333333,0.741333333333339,2779.04533333331
2020,12,100.3,5.99677419354839,7.71935483870968,27.5741935483871,88.1290322580645,4.13870967741935,6666.99677419355,98.82,5.80516129032258,7.62967741935484,30.9974193548387,86.541935483871,3.66838709677419,7261.08483870968,1.47999999999999,0.19161290322581,0.0896774193548424,-3.42322580645162,1.58709677419354,0.470322580645158,-594.088064516128
2021,1,83,3.56451612903226,4.76451612903226,29.1806451612903,83.4838709677419,0.967741935483871,10754.5406451613,88.65,4.9994623655914,5.44677419354839,32.8064516129032,84.7956989247312,2.58978494623656,10904.6162903226,-5.65000000000001,-1.43494623655914,-0.682258064516127,-3.62580645161292,-1.31182795698929,-1.62204301075269,-150.075645161281
2021,2,40,2.96071428571429,3.49285714285714,30.1285714285714,80.6071428571429,-0.132142857142857,16889.2528571429,90.2333333333333,5.12040229885057,5.15896962233169,32.7870279146141,83.2323481116585,2.42875615763547,15415.1050184729,-50.2333333333333,-2.15968801313629,-1.66611247947455,-2.65845648604271,-2.62520525451556,-2.56089901477832,1474.14783867
