"npar","AIC","BIC","logLik","X.2.log.L.","Chisq","Df","Pr..Chisq.","Conditional_R2"
3,3764.43769967996,3780.09002997505,-1879.21884983998,3758.43769967996,NA,NA,NA,0.134371856054974
7,3750.44067681655,3786.96278083843,-1868.22033840828,3736.44067681655,21.9970228634106,4,0.000200694072451624,0.421520760511103
