"year","month","precipitation_sum","temperature_2m_mean (°C)","soil_moisture_0_to_7cm_mean (m³/m³)","soil_moisture_7_to_28cm_mean (m³/m³)","soil_temperature_0_to_7cm_mean (°C)","soil_temperature_7_to_28cm_mean (°C)","wind_speed_10m_mean (km/h)","relative_humidity_2m_mean (%)","dew_point_2m_mean (°C)","sunshine_duration (s)","date_col","season"
2020,11,45.9,9.49666666666667,0,0,10.5066666666667,10.5066666666667,29.31,84.3333333333333,6.92666666666667,15259.2923333333,2020-11-15,"Autumn"
2020,12,100.3,5.99677419354839,0,0,7.71935483870968,7.72258064516129,27.5741935483871,88.1290322580645,4.13870967741935,6666.99677419355,2020-12-16,"Winter"
2021,1,83,3.56451612903226,0,0,4.76451612903226,4.76451612903226,29.1806451612903,83.4838709677419,0.967741935483871,10754.5406451613,2021-01-16,"Winter"
2021,2,40,2.96071428571429,0,0,3.49285714285714,3.49285714285714,30.1285714285714,80.6071428571429,-0.132142857142857,16889.2528571429,2021-02-14,"Winter"
2021,3,54.6,5.13548387096774,0,0,4.4741935483871,4.4741935483871,27.041935483871,84.7096774193548,2.69032258064516,28269.1574193548,2021-03-16,"Spring"
2021,4,32.5,6.18333333333333,0,0,6.86,6.86,28.1666666666667,77.3333333333333,2.43666666666667,38577.1986666667,2021-04-15,"Spring"
2021,5,120.1,9.60322580645161,0,0,9.75806451612903,9.75806451612903,24.3709677419355,84.8709677419355,7.12903225806452,34899.2774193548,2021-05-16,"Spring"
2021,11,66.1,9.06666666666667,0,0,10.64,10.64,28.67,82.7666666666667,6.22333333333333,12031.8886666667,2021-11-15,"Autumn"
2021,12,87.5,5.33548387096774,0,0,7.25806451612903,7.25483870967742,28.3709677419355,86.5483870967742,3.15483870967742,8866.85612903226,2021-12-16,"Winter"
2022,1,67.3,5.63225806451613,0,0,5.19677419354839,5.19677419354839,33.3709677419355,86.3548387096774,3.43870967741935,11275.8990322581,2022-01-16,"Winter"
2022,2,143.5,6.00714285714286,0,0,5.48571428571429,5.48571428571429,40.9892857142857,81.2857142857143,2.96785714285714,16534.6489285714,2022-02-14,"Winter"
2022,3,35.7,5.66129032258065,0,0,5.93870967741935,5.93870967741935,21.6870967741935,78.3870967741936,2.08709677419355,30695.5993548387,2022-03-16,"Spring"
2022,4,52.4,7.63666666666667,0,0,7.72666666666667,7.72666666666667,29.11,77.1666666666667,3.78666666666667,36773.2836666667,2022-04-15,"Spring"
2022,5,68.2,11.6548387096774,0,0,11.6774193548387,11.6741935483871,23.0096774193548,80.9354838709677,8.41935483870968,41198.7241935484,2022-05-16,"Spring"
2022,11,83.8,9.40666666666667,0,0,12.2533333333333,12.2533333333333,32.3366666666667,83.9333333333333,6.77333333333333,12920.638,2022-11-15,"Autumn"
2022,12,89.4,4.74516129032258,0,0,7.77741935483871,7.77741935483871,29.8838709677419,86.8064516129032,2.68387096774194,9349.71161290323,2022-12-16,"Winter"
2023,1,102.2,5.73225806451613,0,0,6.07741935483871,6.0741935483871,34.058064516129,84.9032258064516,3.36774193548387,12915.5535483871,2023-01-16,"Winter"
