"year","month","precipitation_sum","temperature_2m_mean...C.","soil_temperature_0_to_7cm_mean...C.","wind_speed_10m_mean..km.h.","relative_humidity_2m_mean....","dew_point_2m_mean...C.","sunshine_duration..s.","precipitation_sum_baseline","temperature_2m_mean...C._baseline","soil_temperature_0_to_7cm_mean...C._baseline","wind_speed_10m_mean..km.h._baseline","relative_humidity_2m_mean...._baseline","dew_point_2m_mean...C._baseline","sunshine_duration..s._baseline","precipitation_sum_anomaly","temperature_2m_mean...C._anomaly","soil_temperature_0_to_7cm_mean...C._anomaly","wind_speed_10m_mean..km.h._anomaly","relative_humidity_2m_mean...._anomaly","dew_point_2m_mean...C._anomaly","sunshine_duration..s._anomaly"
2022,1,44.5,3.85483870967742,3.80322580645161,14.0677419354839,85.2258064516129,1.51612903225806,8043.20709677419,50.55,3.20483870967742,3.0008064516129,14.616935483871,82.1532258064516,0.328225806451613,10951.3413709677,-6.05,0.65,0.802419354838707,-0.5491935483871,3.07258064516128,1.18790322580645,-2908.13427419355
2022,2,64.5,5.23928571428571,5.09642857142857,19.65,75.5,1.04285714285714,19695.8789285714,52.475,4.4070197044335,4.22198275862069,14.0948583743842,79.1126847290641,0.90899014778325,17251.5037900246,12.025,0.832266009852213,0.87444581280788,5.55514162561576,-3.61268472906406,0.133866995073891,2444.37513854675
2022,3,6.9,4.68387096774194,4.53870967741936,9.50322580645161,68.9032258064516,-1.0741935483871,30292.3267741935,42.65,6.07096774193549,5.72016129032258,10.683064516129,74.7258064516129,1.55241935483871,27152.6545967742,-35.75,-1.38709677419355,-1.18145161290322,-1.17983870967743,-5.8225806451613,-2.62661290322581,3139.6721774193
2022,4,28,8.35666666666667,8.46666666666667,13.27,67.4666666666667,2.22333333333333,29759.536,40.75,9.68500000000001,9.89249999999999,11.59,70.75,4.21833333333333,31991.45125,-12.75,-1.32833333333334,-1.42583333333332,1.67999999999999,-3.28333333333333,-1.995,-2231.91525
2022,5,46.5,15.6064516129032,15.6967741935484,10.7290322580645,63.9354838709677,8.22258064516129,44140.1709677419,45.225,14.8483870967742,15.2153225806452,10.7306451612903,65.5887096774193,7.85806451612904,40912.5119354839,1.275,0.758064516129025,0.481451612903225,-0.00161290322581031,-1.65322580645164,0.364516129032248,3227.65903225802
2022,6,22,19.8166666666667,19.8866666666667,9.63,60.8666666666667,11.2866666666667,47352.0196666667,56.525,19.1308333333333,19.3616666666667,10.6433333333333,63.8333333333333,11.3941666666667,45606.7346666667,-34.525,0.685833333333374,0.525000000000048,-1.01333333333332,-2.96666666666663,-0.107499999999973,1745.28500000003
2022,7,36.4,20.4032258064516,21.2193548387097,10.8290322580645,57.7741935483871,10.9322580645161,41072.4516129032,65.475,20.2903225806452,20.9717741935484,11.016935483871,61.9435483870968,11.9475806451613,41046.0288709677,-29.075,0.112903225806427,0.247580645161303,-0.187903225806481,-4.16935483870967,-1.0153225806452,26.422741935472
2022,8,30.1,21.5709677419355,22.2,8.49032258064516,62.258064516129,13.2451612903226,39895.6783870968,49.875,20.633064516129,21.3120967741935,9.41774193548387,65,13.1048387096774,38526.7216935484,-19.775,0.937903225806476,0.88790322580645,-0.927419354838714,-2.741935483871,0.140322580645174,1368.9566935484
2022,9,58.3,14.5233333333333,15.4266666666667,10.2333333333333,72.8333333333333,9.24666666666667,33253.6983333333,52,17.0740151515152,17.6022727272727,10.9267424242424,69.789393939394,10.9689393939394,34024.1806969697,6.3,-2.55068181818185,-2.17560606060603,-0.693409090909116,3.04393939393935,-1.72227272727272,-770.482363636402
2022,10,26.9,13.5161290322581,13.0677419354839,10.9677419354839,79.9354838709677,9.93548387096774,26447.2161290323,65.0333333333333,12.8763440860215,12.7967741935484,11.3913978494624,80.4731182795699,9.35806451612903,22597.6677419355,-38.1333333333333,0.639784946236599,0.270967741935532,-0.423655913978466,-0.537634408602202,0.57741935483871,3849.5483870968
2022,11,39.7,6.31333333333333,6.47333333333333,10.59,85.4,3.91333333333333,17270.7073333333,54.1333333333333,6.13555555555556,6.45777777777778,12.7477777777778,83.3555555555555,3.39,14027.6358888889,-14.4333333333333,0.177777777777773,0.0155555555555535,-2.15777777777777,2.04444444444447,0.52333333333333,3243.0714444444
2022,12,84.3,2.2,2.04193548387097,12.1387096774194,86.4838709677419,0.0838709677419355,7802.73387096774,77.8,3.42043010752688,3.24086021505376,13.7483870967742,85.8064516129032,1.18709677419355,9155.74591397851,6.5,-1.22043010752688,-1.19892473118279,-1.6096774193548,0.677419354838662,-1.10322580645161,-1353.01204301077
2023,1,53.6,4.53870967741936,4.44193548387097,14.8741935483871,82.0645161290323,1.63548387096774,8643.82709677419,50.55,3.20483870967742,3.0008064516129,14.616935483871,82.1532258064516,0.328225806451613,10951.3413709677,3.05,1.33387096774194,1.44112903225807,0.257258064516099,-0.0887096774193168,1.30725806451613,-2307.51427419355
2023,2,47.1,3.73571428571429,3.62857142857143,13.3321428571429,80.1071428571429,0.478571428571428,16199.4603571429,52.475,4.4070197044335,4.22198275862069,14.0948583743842,79.1126847290641,0.90899014778325,17251.5037900246,-5.375,-0.671305418719207,-0.59341133004926,-0.762715517241341,0.994458128078847,-0.430418719211822,-1052.04343288175
2023,3,103.2,6.20967741935484,5.79354838709677,13.7193548387097,76.2903225806452,2.09677419354839,19573.1441935484,42.65,6.07096774193549,5.72016129032258,10.683064516129,74.7258064516129,1.55241935483871,27152.6545967742,60.55,0.138709677419355,0.0733870967741908,3.03629032258066,1.5645161290323,0.54435483870968,-7579.5104032258
