Genes
AT1G01080
AT1G01720
AT1G01725
AT1G02920
AT1G02930
AT1G04240
AT1G04620
AT1G05150
AT1G06360
AT1G06960
AT1G07110
AT1G07180
AT1G09350
AT1G12310
AT1G13260
AT1G14300
AT1G15250
AT1G16260
AT1G18440
AT1G20770
AT1G22280
AT1G25550
AT1G26180
AT1G26850
AT1G27480
AT1G30490
AT1G31420
AT1G31550
AT1G45249
AT1G48790
AT1G49970
AT1G51690
AT1G52770
AT1G53230
AT1G55900
AT1G60710
AT1G61780
AT1G61800
AT1G62040
AT1G62570
AT1G65845
AT1G66700
AT1G68140
AT1G68500
AT1G69220
AT1G69940
AT1G70780
AT1G70810
AT1G71270
AT1G72170
AT1G73350
AT1G73870
AT1G73990
AT1G77940
AT1G78870
AT2G03730
AT2G14750
AT2G15000
AT2G17540
AT2G17975
AT2G19430
AT2G23810
AT2G25830
AT2G26680
AT2G28600
AT2G30270
AT2G30766
AT2G32600
AT2G34660
AT2G35040
AT2G35840
AT2G37035
AT2G37620
AT2G39470
AT2G40130
AT2G40280
AT2G41940
AT2G44290
AT2G45810
AT3G03870
AT3G03940
AT3G05800
AT3G06290
AT3G06310
AT3G06650
AT3G07320
AT3G07470
AT3G07650
AT3G07780
AT3G10610
AT3G11120
AT3G11945
AT3G12080
AT3G12400
AT3G13180
AT3G14650
AT3G16830
AT3G20230
AT3G20250
AT3G20310
AT3G21560
AT3G22520
AT3G26085
AT3G28730
AT3G28920
AT3G47470
AT3G54300
AT3G54990
AT3G55010
AT3G55360
AT3G56510
AT3G57530
AT3G59110
AT3G59420
AT3G61010
AT3G61220
AT3G63030
AT3G63110
AT4G01370
AT4G02280
AT4G08300
AT4G10040
AT4G12300
AT4G16180
AT4G17615
AT4G17670
AT4G18530
AT4G19860
AT4G20020
AT4G21105
AT4G21660
AT4G25080
AT4G27600
AT4G28470
AT4G29100
AT4G29120
AT4G32800
AT4G33070
AT4G33630
AT4G35480
AT4G36010
AT4G36850
AT5G01520
AT5G01990
AT5G03080
AT5G06160
AT5G06340
AT5G07360
AT5G07550
AT5G08420
AT5G08660
AT5G08760
AT5G09225
AT5G10745
AT5G11070
AT5G11450
AT5G11560
AT5G11920
AT5G12310
AT5G14060
AT5G18400
AT5G19450
AT5G24120
AT5G27760
AT5G33370
AT5G34850
AT5G35320
AT5G37480
AT5G37850
AT5G42310
AT5G45500
AT5G46250
AT5G48250
AT5G48370
AT5G48870
AT5G49760
AT5G50360
AT5G51640
AT5G52040
AT5G53480
AT5G55180
AT5G56350
AT5G58060
AT5G59050
AT5G59310
AT5G60400
AT5G60680
AT5G61590
AT5G62200
AT5G63180
AT5G63370
AT5G64880
AT5G65950
AT5G66510
ATCG00340
