PC	eigenvalue	proportion of total	cumulative proportion
187	0.23456	0.00122	0.84615
188	0.23268	0.00121	0.84737
189	0.23178	0.00121	0.84858
190	0.23096	0.00121	0.84978
191	0.22971	0.0012	0.85098
192	0.22848	0.00119	0.85217
193	0.22734	0.00119	0.85336
194	0.22688	0.00118	0.85454
195	0.22573	0.00118	0.85572
196	0.2249	0.00117	0.8569
197	0.22416	0.00117	0.85807
198	0.22307	0.00116	0.85923
199	0.22204	0.00116	0.86039
200	0.22148	0.00116	0.86154
201	0.22025	0.00115	0.86269
202	0.21881	0.00114	0.86384
203	0.21805	0.00114	0.86497
204	0.21718	0.00113	0.86611
205	0.21655	0.00113	0.86724
206	0.21615	0.00113	0.86837
207	0.21548	0.00112	0.86949
208	0.21495	0.00112	0.87061
209	0.21476	0.00112	0.87173
210	0.2125	0.00111	0.87284
211	0.21075	0.0011	0.87394
212	0.20823	0.00109	0.87503
213	0.20766	0.00108	0.87611
214	0.20725	0.00108	0.87719
215	0.20667	0.00108	0.87827
216	0.20561	0.00107	0.87934
217	0.20396	0.00106	0.88041
218	0.2037	0.00106	0.88147
219	0.20248	0.00106	0.88253
220	0.20238	0.00106	0.88358
221	0.20067	0.00105	0.88463
222	0.20028	0.00105	0.88568
223	0.19873	0.00104	0.88671
224	0.19832	0.00103	0.88775
225	0.19794	0.00103	0.88878
226	0.19711	0.00103	0.88981
227	0.19669	0.00103	0.89084
228	0.19526	0.00102	0.89186
229	0.19379	0.00101	0.89287
230	0.19257	0.001	0.89387
231	0.19184	0.001	0.89487
232	0.19159	9.9983E-4	0.89587
233	0.18994	9.9119E-4	0.89686
234	0.18835	9.8291E-4	0.89785
235	0.18773	9.7966E-4	0.89883
236	0.18654	9.735E-4	0.8998
237	0.18562	9.6866E-4	0.90077
238	0.18503	9.6558E-4	0.90174
239	0.18421	9.6129E-4	0.9027
240	0.18247	9.5222E-4	0.90365
241	0.18182	9.4883E-4	0.9046
242	0.18037	9.4125E-4	0.90554
243	0.17929	9.3564E-4	0.90647
244	0.17922	9.3529E-4	0.90741
245	0.17853	9.3166E-4	0.90834
246	0.17789	9.2833E-4	0.90927
247	0.17613	9.1913E-4	0.91019
248	0.17561	9.1646E-4	0.91111
249	0.17465	9.1144E-4	0.91202
250	0.17425	9.0935E-4	0.91293
251	0.17395	9.0775E-4	0.91383
252	0.17279	9.0173E-4	0.91474
253	0.17067	8.9067E-4	0.91563
254	0.17043	8.8941E-4	0.91652
255	0.1699	8.8664E-4	0.9174
256	0.16877	8.8075E-4	0.91828
257	0.1685	8.7932E-4	0.91916
258	0.1676	8.7461E-4	0.92004
259	0.16639	8.6832E-4	0.92091
260	0.16588	8.6565E-4	0.92177
261	0.16441	8.5798E-4	0.92263
262	0.16313	8.5129E-4	0.92348
263	0.1626	8.4855E-4	0.92433
264	0.16204	8.4563E-4	0.92517
265	0.16188	8.448E-4	0.92602
266	0.16088	8.3954E-4	0.92686
267	0.1596	8.3287E-4	0.92769
268	0.15835	8.2634E-4	0.92852
269	0.158	8.2456E-4	0.92934
270	0.15696	8.1913E-4	0.93016
271	0.15609	8.1455E-4	0.93098
272	0.15593	8.1374E-4	0.93179
273	0.15455	8.0655E-4	0.9326
274	0.15386	8.0294E-4	0.9334
275	0.15296	7.9825E-4	0.9342
276	0.15215	7.9401E-4	0.93499
