plant_ID,leaves_number,petiole_longest_leaf_cm,length_longest_leaf_cm,width_longest_leaf_cm,stem_cm,Cauline_leaves,flowers,plant_length_cm,Sideshoots,Sidebranch,location,season,year,longitude_GMS,latitude_GMS,temperature_C,petiole_length_ratio,aspect_ratio,leaf_to_stem,leaf_plant_length,stem_plant_length,Sideshoot_to_plant_length,flower_to_plnat_length,plant_length_latitude
1_25,6,0.3,1.8,0.5,0.6,2,19,25.2,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.166666666666667,0.277777777777778,3,0.238095238095238,0.0238095238095238,0,0.753968253968254,NA
1_26,4,0.5,2.2,0.7,1,3,40,16.8,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.227272727272727,0.318181818181818,2.2,0.238095238095238,0.0595238095238095,0,2.38095238095238,NA
1_27,8,0.7,1.9,0.7,0.7,3,18,22.6,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.368421052631579,0.368421052631579,2.71428571428571,0.353982300884956,0.0309734513274336,0,0.79646017699115,NA
1_28,7,0.6,2.9,0.8,1.2,4,56,33.7,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.206896551724138,0.275862068965517,2.41666666666667,0.207715133531157,0.0356083086053412,0,1.66172106824926,NA
1_29,8,0.6,1.7,0.6,0.6,2,21,18.2,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.352941176470588,0.352941176470588,2.83333333333333,0.43956043956044,0.032967032967033,0,1.15384615384615,NA
1_30,7,0.7,2.5,1.1,1.3,7,76,32.1,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.28,0.44,1.92307692307692,0.218068535825545,0.0404984423676012,0,2.36760124610592,NA
1_31,12,0.5,1.8,0.7,1.1,4,12,8.5,3,0,Spiekeroog,Spring,2021,NA,NA,NA,0.277777777777778,0.388888888888889,1.63636363636364,1.41176470588235,0.129411764705882,0.352941176470588,1.41176470588235,NA
1_32,9,0.2,0.9,0.4,0.9,4,14,16,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.222222222222222,0.444444444444444,1,0.5625,0.05625,0,0.875,NA
1_33,5,0.2,0.7,0.3,0.8,4,16,10.7,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.285714285714286,0.428571428571429,0.875,0.467289719626168,0.0747663551401869,0,1.49532710280374,NA
1_34,21,0.7,2.8,1.2,0.5,2,27,9.4,7,0,Spiekeroog,Spring,2021,NA,NA,NA,0.25,0.428571428571429,5.6,2.23404255319149,0.0531914893617021,0.74468085106383,2.87234042553191,NA
1_35,3,0.3,1.5,0.4,0.8,4,16,8.6,4,1,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.266666666666667,1.875,0.348837209302326,0.0930232558139535,0.465116279069767,1.86046511627907,NA
1_36,7,0.3,0.9,0.3,0.6,2,14,11.5,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.333333333333333,0.333333333333333,1.5,0.608695652173913,0.0521739130434783,0,1.21739130434783,NA
1_37,8,0.2,1.2,0.3,0.8,5,8,5,3,0,Spiekeroog,Spring,2021,NA,NA,NA,0.166666666666667,0.25,1.5,1.6,0.16,0.6,1.6,NA
1_38,6,0.3,1.5,0.4,0.8,2,5,12,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.266666666666667,1.875,0.5,0.0666666666666667,0.0833333333333333,0.416666666666667,NA
1_39,12,0.5,2.2,0.6,0.7,8,18,8.4,9,0,Spiekeroog,Spring,2021,NA,NA,NA,0.227272727272727,0.272727272727273,3.14285714285714,1.42857142857143,0.0833333333333333,1.07142857142857,2.14285714285714,NA
1_40,4,0.2,1.1,0.3,0.8,4,26,20,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.181818181818182,0.272727272727273,1.375,0.2,0.04,0,1.3,NA
1_41,2,0.2,1.2,0.4,0.8,5,21,17.5,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.166666666666667,0.333333333333333,1.5,0.114285714285714,0.0457142857142857,0,1.2,NA
1_42,8,1.2,3.5,1,1,6,101,42,0,6,Spiekeroog,Spring,2021,NA,NA,NA,0.342857142857143,0.285714285714286,3.5,0.19047619047619,0.0238095238095238,0,2.4047619047619,NA
1_43,7,1.4,3.7,1,1.1,4,105,47.2,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.378378378378378,0.27027027027027,3.36363636363636,0.148305084745763,0.0233050847457627,0,2.22457627118644,NA
1_44,7,0.4,1.4,0.5,0.6,2,23,23.8,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.285714285714286,0.357142857142857,2.33333333333333,0.294117647058824,0.0252100840336134,0,0.966386554621849,NA
1_45,6,0.3,1,0.4,0.8,2,19,21.4,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.3,0.4,1.25,0.280373831775701,0.0373831775700935,0,0.88785046728972,NA
1_46,4,0.2,1,0.4,0.8,2,20,20.4,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.4,1.25,0.196078431372549,0.0392156862745098,0,0.980392156862745,NA
1_47,7,0.2,1.1,0.4,0.8,3,22,23.4,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.181818181818182,0.363636363636364,1.375,0.299145299145299,0.0341880341880342,0,0.94017094017094,NA
1_48,6,0.8,2.7,1.1,1.3,6,62,34.2,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.296296296296296,0.407407407407407,2.07692307692308,0.175438596491228,0.0380116959064327,0,1.81286549707602,NA
1_49,6,0.7,1.8,0.5,1,5,31,28.8,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.388888888888889,0.277777777777778,1.8,0.208333333333333,0.0347222222222222,0,1.07638888888889,NA
1_50,5,0.2,1.5,0.5,1.1,5,49,23.1,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.133333333333333,0.333333333333333,1.36363636363636,0.216450216450216,0.0476190476190476,0,2.12121212121212,NA
1_51,1,0.6,2.1,0.4,0.9,4,28,17.3,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.285714285714286,0.19047619047619,2.33333333333333,0.0578034682080925,0.0520231213872832,0,1.61849710982659,NA
1_52,6,0.2,1.5,0.5,0.8,3,11,11.9,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.133333333333333,0.333333333333333,1.875,0.504201680672269,0.0672268907563025,0.0840336134453781,0.92436974789916,NA
1_53,7,0.3,1.3,0.3,0.8,4,11,13,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.230769230769231,0.230769230769231,1.625,0.538461538461538,0.0615384615384615,0,0.846153846153846,NA
1_54,7,0.6,2.6,0.8,1.5,4,36,23.5,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.230769230769231,0.307692307692308,1.73333333333333,0.297872340425532,0.0638297872340425,0,1.53191489361702,NA
1_55,1,0.3,1.1,0.3,0.9,3,3,9.8,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.272727272727273,0.272727272727273,1.22222222222222,0.102040816326531,0.0918367346938775,0.102040816326531,0.306122448979592,NA
1_56,4,0.3,1.4,0.4,1.1,5,12,20.8,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.214285714285714,0.285714285714286,1.27272727272727,0.192307692307692,0.0528846153846154,0.0480769230769231,0.576923076923077,NA
1_57,8,0.5,2.1,0.8,1,5,65,23.7,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.238095238095238,0.380952380952381,2.1,0.337552742616034,0.0421940928270042,0,2.74261603375527,NA
1_58,8,0.4,2.2,0.7,1.1,4,72,31.7,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.181818181818182,0.318181818181818,2,0.252365930599369,0.0347003154574133,0,2.27129337539432,NA
