plant_ID,root associated,root_length_cm,length_longest_leaf_cm,petiole_longest_leaf_cm,width_longest_leaf_cm,leaves_number,eaten_leaves,temperature_C,petiole-length-ratio,length-width-ratio,longitude_GMS,latitude_GMS,altitude,date,time,comments,season,year,location,petiole_length_ratio,aspect_ratio
845,NA,NA,0.756,0.341,0.354,9,n,3.3,0.451058201058201,2.13559322033898,7.71725277777778,53.7751083333333,4,2021-12-07,1899-12-31 15:32:00,NA,Winter,2021,Spiekeroog,0.451058201058201,0.468253968253968
846,NA,NA,1.57,0.685,0.649,14,n,5.3,0.436305732484077,2.4191063174114,7.71708888888889,53.7752583333333,45,2021-12-07,1899-12-31 12:46:00,NA,Winter,2021,Spiekeroog,0.436305732484077,0.413375796178344
848,NA,NA,0.649,0.238,0.309,6,n,5.4,0.366718027734977,2.10032362459547,7.71729444444444,53.7754027777778,89.032,2021-12-07,1899-12-31 13:15:00,NA,Winter,2021,Spiekeroog,0.366718027734977,0.476117103235747
849,840,NA,0.629,0.269,0.316,10,n,3.1,0.427662957074722,1.99050632911392,7.71744166666667,53.775775,53,2021-12-07,1899-12-31 15:13:00,NA,Winter,2021,Spiekeroog,0.427662957074722,0.502384737678855
850,NA,NA,0.572,0.161,0.349,9,n,7,0.281468531468532,1.63896848137536,7.71721388888889,53.7753694444444,50.764,2021-12-07,1899-12-31 13:11:00,NA,Winter,2021,Spiekeroog,0.281468531468532,0.61013986013986
851,NA,NA,1.061,0.435,0.517,12,n,5.3,0.409990574929312,2.05222437137331,7.71708888888889,53.7752583333333,45,2021-12-07,1899-12-31 12:46:00,NA,Winter,2021,Spiekeroog,0.409990574929312,0.487276154571159
852,NA,NA,0.849,0.325,0.342,13,n,5.9,0.382803297997644,2.48245614035088,7.71716388888889,53.7752416666667,46.097,2021-12-07,1899-12-31 12:57:00,NA,Winter,2021,Spiekeroog,0.382803297997644,0.402826855123675
853,NA,NA,0.674,0.207,0.431,8,n,2.5,0.307121661721068,1.56380510440835,7.71721111111111,53.7754861111111,45.069,2021-12-07,1899-12-31 15:24:00,NA,Winter,2021,Spiekeroog,0.307121661721068,0.63946587537092
854,NA,NA,0.805,0.35,0.417,10,n,3.7,0.434782608695652,1.93045563549161,7.71724166666667,53.7757666666667,44,2021-12-07,1899-12-31 13:52:00,NA,Winter,2021,Spiekeroog,0.434782608695652,0.518012422360248
855,NA,NA,0.619,0.173,0.353,7,n,3.9,0.279483037156704,1.75354107648725,7.71731666666667,53.7754583333333,55.056,2021-12-07,1899-12-31 15:06:00,NA,Winter,2021,Spiekeroog,0.279483037156704,0.570274636510501
