plant_ID,length_longest_leaf_cm,petiole_longest_leaf_cm,width_longest_leaf_cm,leaves_number,temperature_C,longitude_GMS,latitude_GMS,season,year,location,petiole_length_ratio,aspect_ratio
121,1.342,0.762,0.351,10,2.7,7.72269694444444,53.7744305555556,Winter,2021,Spiekeroog,0.567809239940387,0.261549925484352
122,0.889,0.379,0.39,12,2.7,7.72533888888889,53.7682802777778,Winter,2021,Spiekeroog,0.426321709786277,0.438695163104612
123,1.029,0.393,0.458,11,3.1,7.72527194444444,53.7683944444444,Winter,2021,Spiekeroog,0.381924198250729,0.445092322643343
124,1.007,0.344,0.447,9,0.7,7.71823055555556,53.7682305555556,Winter,2021,Spiekeroog,0.341608738828203,0.443892750744787
125,0.599,0.26,0.326,9,3.9,7.72271083333333,53.7742219444444,Winter,2021,Spiekeroog,0.434056761268781,0.54424040066778
126,0.709,0.272,0.381,8,3.7,7.72273333333333,53.7742580555556,Winter,2021,Spiekeroog,0.383638928067701,0.53737658674189
127,0.693,0.293,0.314,11,2.7,7.72271083333333,53.7744222222222,Winter,2021,Spiekeroog,0.422799422799423,0.453102453102453
128,1.249,0.476,0.53,18,0.1,7.72523583333333,53.7683636111111,Winter,2021,Spiekeroog,0.381104883907126,0.424339471577262
129,0.868,0.277,0.503,8,3.6,7.72274138888889,53.7742497222222,Winter,2021,Spiekeroog,0.319124423963134,0.579493087557604
130,0.946,0.447,0.434,9,3.1,7.72268055555556,53.7743802777778,Winter,2021,Spiekeroog,0.472515856236786,0.45877378435518
131,0.775,0.309,0.375,10,3.6,7.72275527777778,53.7742525,Winter,2021,Spiekeroog,0.398709677419355,0.483870967741935
132,1.184,0.636,0.512,9,1.4,7.72273888888889,53.7743719444444,Winter,2021,Spiekeroog,0.537162162162162,0.432432432432432
133,0.843,0.317,0.333,11,3.4,7.72272194444444,53.7742691666667,Winter,2021,Spiekeroog,0.376037959667853,0.395017793594306
134,1.352,0.537,0.521,8,1,7.72524444444444,53.7683861111111,Winter,2021,Spiekeroog,0.397189349112426,0.385355029585799
135,0.801,0.294,0.471,12,4.1,7.72274444444444,53.7742525,Winter,2021,Spiekeroog,0.367041198501873,0.588014981273408
136,1.1,0.424,0.438,11,2.7,7.72274694444444,53.7744444444444,Winter,2021,Spiekeroog,0.385454545454545,0.398181818181818
137,0.702,0.213,0.391,11,1,NA,NA,Winter,2021,Spiekeroog,0.303418803418803,0.556980056980057
138,0.89,0.306,0.43,8,3.6,7.72277777777778,53.7742413888889,Winter,2021,Spiekeroog,0.343820224719101,0.48314606741573
139,0.675,0.214,0.431,11,1.1,7.72275527777778,53.7743136111111,Winter,2021,Spiekeroog,0.317037037037037,0.638518518518518
140,0.954,0.466,0.422,6,1.1,7.72275527777778,53.7743136111111,Winter,2021,Spiekeroog,0.488469601677149,0.442348008385744
141,0.618,0.202,0.33,9,3.7,7.72276388888889,53.7742525,Winter,2021,Spiekeroog,0.326860841423948,0.533980582524272
142,0.603,0.225,0.314,7,3.1,7.72266111111111,53.7742222222222,Winter,2021,Spiekeroog,0.373134328358209,0.520729684908789
143,0.826,0.387,0.334,11,3.9,7.72274694444444,53.7742194444444,Winter,2021,Spiekeroog,0.468523002421308,0.404358353510896
144,0.574,0.188,0.296,8,3.1,7.72277194444444,53.7743552777778,Winter,2021,Spiekeroog,0.327526132404181,0.515679442508711
145,0.419,0.167,0.229,10,3.9,7.72276083333333,53.8388888888889,Winter,2021,Spiekeroog,0.398568019093079,0.54653937947494
146,0.576,0.278,0.311,7,2.9,7.72269444444444,53.7744194444444,Winter,2021,Spiekeroog,0.482638888888889,0.539930555555556
147,0.851,0.285,0.422,8,3.8,7.72275277777778,53.7742525,Winter,2021,Spiekeroog,0.334900117508813,0.495887191539366
148,1.17,0.569,0.396,9,3.4,7.72272194444444,53.7742722222222,Winter,2021,Spiekeroog,0.486324786324786,0.338461538461538
149,1.842,0.717,0.716,16,NA,7.7252275,53.7683611111111,Winter,2021,Spiekeroog,0.389250814332248,0.38870792616721
150,1.202,0.54,0.406,16,2.9,7.7227025,53.7744194444444,Winter,2021,Spiekeroog,0.449251247920133,0.337770382695508
151,0.734,0.225,0.38,9,3.6,7.72275277777778,53.7742580555556,Winter,2021,Spiekeroog,0.306539509536785,0.517711171662125
152,0.337,0.105,0.228,8,4.4,7.72271388888889,53.7742691666667,Winter,2021,Spiekeroog,0.311572700296736,0.676557863501484
153,0.68,0.263,0.314,6,3.5,7.7252025,53.7683722222222,Winter,2021,Spiekeroog,0.386764705882353,0.461764705882353
154,1.169,0.572,0.437,9,1.9,7.72268583333333,53.7743219444444,Winter,2021,Spiekeroog,0.489307100085543,0.37382378100941
155,0.966,0.513,0.3,10,2,7.72278583333333,53.77435,Winter,2021,Spiekeroog,0.531055900621118,0.31055900621118
157,0.433,0.126,0.289,5,1.4,7.72273888888889,53.7743719444444,Winter,2021,Spiekeroog,0.290993071593533,0.66743648960739
158,0.831,0.336,0.421,8,0.6,7.72259694444444,53.7743777777778,Winter,2021,Spiekeroog,0.404332129963899,0.50661853188929
159,1.111,0.369,0.442,11,3.6,7.72276083333333,53.7742388888889,Winter,2021,Spiekeroog,0.332133213321332,0.397839783978398
160,0.682,0.27,0.359,7,3.6,7.72524444444444,53.7683694444444,Winter,2021,Spiekeroog,0.395894428152493,0.526392961876833
161,1.023,0.517,0.375,8,3.2,7.72275833333333,53.7742525,Winter,2021,Spiekeroog,0.505376344086022,0.366568914956012
162,1.744,0.883,0.525,10,2.6,7.72269444444444,53.7744888888889,Winter,2021,Spiekeroog,0.506307339449541,0.301032110091743
163,0.778,0.311,0.393,5,1.4,7.72273888888889,53.7743719444444,Winter,2021,Spiekeroog,0.39974293059126,0.505141388174807
164,0.717,0.238,0.331,11,3.6,7.72277777777778,53.7742638888889,Winter,2021,Spiekeroog,0.331938633193863,0.461645746164575
165,0.87,0.332,0.485,10,3,7.72271388888889,53.7743611111111,Winter,2021,Spiekeroog,0.381609195402299,0.557471264367816
166,0.787,0.306,0.431,11,2.7,7.72270555555556,53.7744111111111,Winter,2021,Spiekeroog,0.388818297331639,0.547649301143583
167,0.712,0.302,0.384,8,1.1,7.72581944444444,53.7682969444444,Winter,2021,Spiekeroog,0.424157303370787,0.539325842696629
168,0.325,0.113,0.201,7,3.4,7.7227275,53.7742361111111,Winter,2021,Spiekeroog,0.347692307692308,0.618461538461539
169,0.691,0.163,0.465,10,3.4,7.72278027777778,53.7744638888889,Winter,2021,Spiekeroog,0.23589001447178,0.672937771345876
170,0.685,0.283,0.389,8,2.3,7.72274138888889,53.7743777777778,Winter,2021,Spiekeroog,0.413138686131387,0.567883211678832
171,0.924,0.457,0.511,10,2.2,7.72523888888889,53.7683805555556,Winter,2021,Spiekeroog,0.494588744588745,0.553030303030303
173,0.431,0.126,0.24,9,3.7,7.72276083333333,53.7742580555556,Winter,2021,Spiekeroog,0.292343387470998,0.556844547563805
174,0.8,0.225,0.381,6,3.6,7.72275833333333,53.7742497222222,Winter,2021,Spiekeroog,0.28125,0.47625
175,0.857,0.305,0.428,12,2.2,7.72274444444444,53.7743611111111,Winter,2021,Spiekeroog,0.355892648774796,0.499416569428238
176,0.281,0.138,0.156,4,1.1,7.72275527777778,53.7743136111111,Winter,2021,Spiekeroog,0.491103202846975,0.555160142348754
177,0.806,0.273,0.45,9,3.5,7.72273583333333,53.7743969444444,Winter,2021,Spiekeroog,0.338709677419355,0.558312655086849
178,0.933,0.418,0.465,7,NA,7.72521944444444,53.7683611111111,Winter,2021,Spiekeroog,0.448017148981779,0.498392282958199
179,0.708,0.298,0.293,8,1.9,7.72523055555556,53.7683413888889,Winter,2021,Spiekeroog,0.42090395480226,0.413841807909604
180,0.942,0.398,0.346,6,2.2,7.72523055555556,53.7683552777778,Winter,2021,Spiekeroog,0.422505307855626,0.367303609341826
182,1.046,0.503,0.409,14,3,7.7227025,53.7744330555556,Winter,2021,Spiekeroog,0.480879541108987,0.391013384321224
183,0.568,0.225,0.284,8,0.3,7.72531388888889,53.7682191666667,Winter,2021,Spiekeroog,0.39612676056338,0.5
184,1.112,0.364,0.414,13,3.8,7.72273583333333,53.7742472222222,Winter,2021,Spiekeroog,0.327338129496403,0.372302158273381
187,0.58,0.193,0.354,7,3.9,7.72274444444444,53.7742525,Winter,2021,Spiekeroog,0.332758620689655,0.610344827586207
188,0.376,0.135,0.234,6,3.7,7.72274694444444,53.7742472222222,Winter,2021,Spiekeroog,0.359042553191489,0.622340425531915
189,1.086,0.597,0.353,5,0.6,7.72260555555556,53.7744330555556,Winter,2021,Spiekeroog,0.549723756906077,0.325046040515654
190,1.137,0.377,0.508,8,3.8,7.72271944444444,53.7742858333333,Winter,2021,Spiekeroog,0.331574318381706,0.446789797713281
191,0.825,0.293,0.452,10,2.6,7.72263611111111,53.7743944444444,Winter,2021,Spiekeroog,0.355151515151515,0.547878787878788
192,0.804,0.348,0.365,7,0.6,7.72259694444444,53.7743777777778,Winter,2021,Spiekeroog,0.432835820895522,0.453980099502487
193,0.921,0.431,0.426,10,3.1,7.72258055555556,53.7744608333333,Winter,2021,Spiekeroog,0.467969598262758,0.462540716612378
194,0.705,0.241,0.389,8,3.8,7.72270555555556,53.7742722222222,Winter,2021,Spiekeroog,0.341843971631206,0.55177304964539
195,0.69,0.162,0.337,11,0.7,7.72521944444444,53.7683636111111,Winter,2021,Spiekeroog,0.234782608695652,0.488405797101449
196,0.806,0.346,0.37,9,3.1,7.72275,53.7744608333333,Winter,2021,Spiekeroog,0.429280397022332,0.459057071960298
197,0.814,0.383,0.376,11,2.7,7.72265,53.7743944444444,Winter,2021,Spiekeroog,0.470515970515971,0.461916461916462
198,0.87,0.303,0.478,5,1.3,7.72266111111111,53.7744330555556,Winter,2021,Spiekeroog,0.348275862068965,0.549425287356322
199,1.158,0.404,0.556,12,-0.3,7.72521083333333,53.7683861111111,Winter,2021,Spiekeroog,0.348877374784111,0.48013816925734
200,0.908,0.318,0.403,9,2,7.72278583333333,53.77435,Winter,2021,Spiekeroog,0.350220264317181,0.443832599118943
212,0.721,0.313,0.389,12,4.4,7.71727777777778,53.7754194444444,Winter,2021,Spiekeroog,0.434119278779473,0.539528432732316
221,0.892,0.329,0.47,11,4.7,7.71721944444444,53.7754416666667,Winter,2021,Spiekeroog,0.368834080717489,0.526905829596412
230,0.433,0.149,0.277,7,3.5,7.71718055555556,53.77545,Winter,2021,Spiekeroog,0.344110854503464,0.63972286374134
239,0.601,0.224,0.356,10,4.7,7.71721944444444,53.7754416666667,Winter,2021,Spiekeroog,0.372712146422629,0.59234608985025
241,0.785,0.341,0.403,11,4.5,7.70508055555556,53.7715333333333,Winter,2021,Spiekeroog,0.434394904458599,0.513375796178344
243,0.798,0.335,0.402,10,4.2,7.71724166666667,53.7753583333333,Winter,2021,Spiekeroog,0.419799498746867,0.503759398496241
244,0.546,0.151,0.361,10,4.6,7.71727777777778,53.7754194444444,Winter,2021,Spiekeroog,0.276556776556777,0.661172161172161
252,0.346,0.101,0.246,8,4.8,7.71710277777778,53.7752583333333,Winter,2021,Spiekeroog,0.291907514450867,0.710982658959538
263,0.456,0.159,0.28,9,4.2,7.71683333333333,53.7751027777778,Winter,2021,Spiekeroog,0.348684210526316,0.614035087719298
272,0.61,0.278,0.294,11,4.6,7.71701111111111,53.7753166666667,Winter,2021,Spiekeroog,0.455737704918033,0.481967213114754
276,0.958,0.369,0.5,13,4.5,7.71720555555556,53.7752944444444,Winter,2021,Spiekeroog,0.38517745302714,0.521920668058455
277,0.942,0.323,0.476,12,4.6,7.71701666666667,53.775475,Winter,2021,Spiekeroog,0.342887473460722,0.505307855626327
286,0.938,0.278,0.486,9,4.1,NA,NA,Winter,2021,Spiekeroog,0.29637526652452,0.518123667377399
293,0.603,0.274,0.326,8,5.5,7.71725555555556,53.7753333333333,Winter,2021,Spiekeroog,0.454394693200664,0.540630182421227
295,0.604,0.221,0.362,8,5.1,7.71721944444444,53.7754416666667,Winter,2021,Spiekeroog,0.365894039735099,0.599337748344371
309,0.537,0.147,0.31,9,3.8,7.71715833333333,53.7754416666667,Winter,2021,Spiekeroog,0.273743016759777,0.577281191806331
316,0.688,0.235,0.383,9,5,7.71725555555556,53.7753333333333,Winter,2021,Spiekeroog,0.34156976744186,0.556686046511628
318,0.739,0.215,0.459,9,5.8,7.71725555555556,53.7753333333333,Winter,2021,Spiekeroog,0.290933694181326,0.621109607577808
319,0.621,0.275,0.328,10,4.8,7.71710277777778,53.7752583333333,Winter,2021,Spiekeroog,0.442834138486312,0.528180354267311
321,0.388,0.13,0.232,9,4.4,7.71701111111111,53.7753166666667,Winter,2021,Spiekeroog,0.335051546391753,0.597938144329897
329,0.579,0.192,0.345,10,4,7.71718055555556,53.77545,Winter,2021,Spiekeroog,0.33160621761658,0.595854922279793
332,0.47,0.12,0.315,7,3.7,7.71718055555556,53.77545,Winter,2021,Spiekeroog,0.25531914893617,0.670212765957447
336,0.609,0.209,0.377,12,5.7,7.71710277777778,53.7752583333333,Winter,2021,Spiekeroog,0.343185550082102,0.619047619047619
342,0.433,0.141,0.262,8,3.9,NA,NA,Winter,2021,Spiekeroog,0.325635103926097,0.605080831408776
344,0.42,0.134,0.281,8,4.8,7.71724166666667,53.7753472222222,Winter,2021,Spiekeroog,0.319047619047619,0.669047619047619
353,0.412,0.132,0.258,7,5.2,7.71710277777778,53.7752583333333,Winter,2021,Spiekeroog,0.320388349514563,0.62621359223301
358,0.724,0.209,0.359,10,4.3,NA,NA,Winter,2021,Spiekeroog,0.288674033149171,0.49585635359116
359,0.765,0.306,0.253,7,3.6,NA,NA,Winter,2021,Spiekeroog,0.4,0.330718954248366
365,0.411,0.156,0.26,7,4,7.71727777777778,53.7754194444444,Winter,2021,Spiekeroog,0.37956204379562,0.632603406326034
370,0.485,0.133,0.333,9,3.6,NA,NA,Winter,2021,Spiekeroog,0.274226804123711,0.68659793814433
373,0.865,0.345,0.428,12,5.2,7.71725555555556,53.7753333333333,Winter,2021,Spiekeroog,0.398843930635838,0.494797687861272
374,0.597,0.194,0.37,9,3.1,7.71716666666667,53.7753416666667,Winter,2021,Spiekeroog,0.324958123953099,0.619765494137353
375,0.702,0.281,0.415,11,5,7.71713055555556,53.7753305555556,Winter,2021,Spiekeroog,0.4002849002849,0.591168091168091
381,0.636,0.203,0.395,11,4,7.71699166666667,53.7754972222222,Winter,2021,Spiekeroog,0.319182389937107,0.621069182389937
386,0.344,0.09,0.288,7,4.4,7.71728611111111,53.775325,Winter,2021,Spiekeroog,0.261627906976744,0.837209302325581
391,0.553,0.178,0.329,10,4,7.71721388888889,53.775375,Winter,2021,Spiekeroog,0.321880650994575,0.59493670886076
393,0.388,0.118,0.273,7,5,7.71727777777778,53.7754194444444,Winter,2021,Spiekeroog,0.304123711340206,0.70360824742268
395,0.624,0.217,0.411,8,6.2,7.71725555555556,53.7753333333333,Winter,2021,Spiekeroog,0.34775641025641,0.658653846153846
397,0.636,0.182,0.323,10,3.8,7.71715833333333,53.7754416666667,Winter,2021,Spiekeroog,0.286163522012579,0.507861635220126
401,0.554,0.221,0.258,9,5.9,7.723925,53.773925,Winter,2021,Spiekeroog,0.398916967509025,0.465703971119134
402,0.686,0.29,0.333,9,4,7.72278611111111,53.7735083333333,Winter,2021,Spiekeroog,0.422740524781341,0.485422740524781
403,0.533,0.282,0.278,9,5.9,7.723925,53.773925,Winter,2021,Spiekeroog,0.529080675422139,0.521575984990619
404,0.333,0.102,0.193,7,5.4,7.72275,53.7735138888889,Winter,2021,Spiekeroog,0.306306306306306,0.57957957957958
405,0.91,0.336,0.506,9,4.6,7.72275,53.7735138888889,Winter,2021,Spiekeroog,0.369230769230769,0.556043956043956
406,0.655,0.188,0.359,10,2.7,7.72274166666667,53.7735555555556,Winter,2021,Spiekeroog,0.287022900763359,0.548091603053435
407,0.748,0.345,0.36,9,4,7.72305833333333,53.7737388888889,Winter,2021,Spiekeroog,0.461229946524064,0.481283422459893
408,0.847,0.265,0.374,12,5.6,7.72271666666667,53.7735055555556,Winter,2021,Spiekeroog,0.312868949232586,0.441558441558442
410,0.682,0.293,0.289,8,4.5,7.72277777777778,53.7735777777778,Winter,2021,Spiekeroog,0.429618768328446,0.42375366568915
411,0.371,0.132,0.207,9,3.3,7.72276111111111,53.7734166666667,Winter,2021,Spiekeroog,0.355795148247978,0.557951482479784
412,0.849,0.327,0.385,11,7.3,7.72267222222222,53.7740305555556,Winter,2021,Spiekeroog,0.385159010600707,0.453474676089517
413,0.642,0.208,0.363,11,3.8,7.72265277777778,53.7739305555556,Winter,2021,Spiekeroog,0.32398753894081,0.565420560747664
414,0.517,0.199,0.262,9,4.5,7.72275555555556,53.7734472222222,Winter,2021,Spiekeroog,0.384912959381044,0.506769825918762
415,1.004,0.32,0.45,10,4.4,7.7226,53.773975,Winter,2021,Spiekeroog,0.318725099601594,0.448207171314741
416,0.429,0.11,0.315,10,2.8,7.72270555555556,53.7739694444444,Winter,2021,Spiekeroog,0.256410256410256,0.734265734265734
417,0.446,0.142,0.274,9,3.3,7.72276111111111,53.7734166666667,Winter,2021,Spiekeroog,0.318385650224215,0.614349775784753
418,0.908,0.43,0.375,8,3.7,7.72269722222222,53.7735388888889,Winter,2021,Spiekeroog,0.473568281938326,0.412995594713656
419,1.028,0.248,0.562,12,1.6,7.72536111111111,53.7683444444444,Winter,2021,Spiekeroog,0.24124513618677,0.546692607003891
420,0.919,0.269,0.488,11,2.6,7.71303611111111,53.7713888888889,Winter,2021,Spiekeroog,0.292709466811752,0.5310119695321
421,1.118,0.318,0.458,13,3.5,7.72282222222222,53.7740611111111,Winter,2021,Spiekeroog,0.284436493738819,0.409660107334526
422,1.153,0.514,0.392,13,1.4,7.72548055555556,53.7684083333333,Winter,2021,Spiekeroog,0.445793581960104,0.339982653946227
423,0.523,0.174,0.343,11,5.8,7.72272222222222,53.7740416666667,Winter,2021,Spiekeroog,0.332695984703633,0.655831739961759
424,1.38,0.538,0.438,12,0.8,7.72538055555556,53.7683555555556,Winter,2021,Spiekeroog,0.389855072463768,0.317391304347826
425,1.172,0.478,0.5,13,0.2,7.72539444444444,53.7683194444444,Winter,2021,Spiekeroog,0.407849829351536,0.426621160409556
426,0.963,0.371,0.342,11,0.2,7.72261944444444,53.7737722222222,Winter,2021,Spiekeroog,0.385254413291796,0.355140186915888
427,1.077,0.455,0.487,12,2.3,7.72264722222222,53.7737944444444,Winter,2021,Spiekeroog,0.42246982358403,0.452181987000928
428,0.763,0.356,0.376,9,3.2,7.72282777777778,53.7735388888889,Winter,2021,Spiekeroog,0.466579292267366,0.492791612057667
429,0.738,0.277,0.411,10,2.7,7.72274166666667,53.7735555555556,Winter,2021,Spiekeroog,0.375338753387534,0.556910569105691
430,0.962,0.34,0.467,13,4.4,7.7226,53.773975,Winter,2021,Spiekeroog,0.353430353430354,0.485446985446986
431,0.939,0.417,0.381,7,3.7,7.72233055555556,53.7741222222222,Winter,2021,Spiekeroog,0.44408945686901,0.405750798722045
432,0.913,0.321,0.499,10,4.5,7.72258055555556,53.7742055555556,Winter,2021,Spiekeroog,0.351588170865279,0.546549835706462
433,0.716,0.257,0.384,14,2.3,NA,NA,Winter,2021,Spiekeroog,0.358938547486034,0.536312849162011
435,1.099,0.412,0.44,15,0.7,7.72523055555556,53.7683444444444,Winter,2021,Spiekeroog,0.374886260236579,0.400363967242948
436,0.713,0.236,0.303,10,4,7.72305833333333,53.7737388888889,Winter,2021,Spiekeroog,0.330995792426367,0.424964936886396
437,0.607,0.165,0.302,11,2.2,NA,NA,Winter,2021,Spiekeroog,0.271828665568369,0.497528830313015
438,0.671,0.252,0.24,9,4.5,7.72277777777778,53.7735777777778,Winter,2021,Spiekeroog,0.375558867362146,0.357675111773472
439,0.953,0.347,0.42,13,2.5,NA,NA,Winter,2021,Spiekeroog,0.36411332633788,0.440713536201469
440,0.669,0.236,0.357,11,2.5,7.72272777777778,53.7737305555556,Winter,2021,Spiekeroog,0.352765321375187,0.533632286995516
441,1.278,0.55,0.41,17,-1.5,NA,NA,Winter,2021,Spiekeroog,0.430359937402191,0.320813771517997
442,0.449,0.191,0.204,8,4.1,7.72267777777778,53.7735916666667,Winter,2021,Spiekeroog,0.425389755011136,0.4543429844098
443,0.568,0.216,0.345,10,1.1,7.72272777777778,53.7737277777778,Winter,2021,Spiekeroog,0.380281690140845,0.607394366197183
444,1.214,0.493,0.553,12,3,NA,NA,Winter,2021,Spiekeroog,0.406095551894563,0.455518945634267
445,0.947,0.388,0.454,11,4.7,7.72269166666667,53.7735194444444,Winter,2021,Spiekeroog,0.409714889123548,0.479408658922915
446,0.458,0.208,0.269,9,4.7,7.72271666666667,53.7735055555556,Winter,2021,Spiekeroog,0.45414847161572,0.587336244541485
447,1.154,0.429,0.469,13,3.5,7.72282222222222,53.7740611111111,Winter,2021,Spiekeroog,0.371750433275563,0.406412478336222
448,1.034,0.437,0.465,11,1.6,7.72536111111111,53.7683444444444,Winter,2021,Spiekeroog,0.422630560928433,0.449709864603482
449,1.19,0.484,0.442,13,-1.1,7.72534444444444,53.7683611111111,Winter,2021,Spiekeroog,0.40672268907563,0.371428571428571
450,1.041,0.424,0.527,9,3,7.72282777777778,53.7735416666667,Winter,2021,Spiekeroog,0.407300672430355,0.506243996157541
451,1.325,0.533,0.446,15,0.2,7.72534166666667,53.7683361111111,Winter,2021,Spiekeroog,0.402264150943396,0.336603773584906
452,0.493,0.159,0.301,6,5,NA,NA,Winter,2021,Spiekeroog,0.322515212981744,0.610547667342799
