,Variable,W,P_value
W,Length longest leaf_2021,0.958123231981105,9.08906684258765e-13
W1,Petiole longest leaf_2021,0.942656170735747,2.79827003928868e-15
W2,Width longest leaf_2021,0.974488333808894,2.58265219786199e-09
W3,Leaf number_2021,0.965155372549372,2.10266668217708e-11
W4,aspect_ratio_2021,0.981008464987491,1.49936381159822e-07
W5,petiole_length_ratio_2021,0.960652621617428,2.67100363910205e-12
