Longitude,Latitude
11.883725,51.546875
11.88378056,51.54700556
11.88266111,51.54891667
11.88843889,51.51577778
11.85758889,51.52349444
11.88848889,51.51377222
11.88843889,51.51577778
11.88351389,51.54713056
11.8825,51.548875
11.88252497,51.54887897
11.88254097,51.548802
11.88249597,51.548811
11.88261667,51.54893056
11.88260556,51.54900833
11.882528,51.548895
11.882507,51.54885097
11.88380897,51.546905
11.883658,51.546854
11.88366897,51.54696897
11.88365497,51.546889
11.88374897,51.54689797
11.88373797,51.54692
11.882443,51.548901
11.882497,51.548915
11.882561,51.548842
11.88262397,51.54881797
11.882504,51.54881997
11.88609444,51.54908056
11.88613889,51.549125
11.88613889,51.54912778
11.88613889,51.54912778
11.88254097,51.548912
11.88255997,51.54891097
11.882514,51.54889897
11.882709,51.54878397
11.88256797,51.548884
11.88261667,51.54883611
11.88256667,51.54889722
11.88260833,51.54885833
11.882543,51.548929
11.882569,51.54889
11.88254897,51.548915
11.88255833,51.54889167
11.88252778,51.54883611
11.88252778,51.54881667
11.882525,51.54882778
11.83352222,51.51673056
11.882576,51.54892397
11.88263897,51.54894197
11.882533,51.548878
11.882552,51.548887
11.88256497,51.54887
11.83352222,51.51673056
11.83352222,51.51673056
11.882475,51.54882778
11.88365833,51.54715833
11.882609,51.54901797
11.882713,51.54877197
11.882585,51.54886197
11.882528,51.54890497
11.882547,51.54887097
11.83352222,51.51673056
11.88325833,51.54706667
11.88329167,51.54706667
11.88328056,51.54715833
11.88334444,51.54706944
11.88328056,51.54703056
11.883725,51.54715278
11.8837,51.54713889
11.91430833,51.51845278
11.98600833,51.51272778
11.98600833,51.51272778
11.91430833,51.51845278
11.88368333,51.54716111
11.88359722,51.54710833
11.88241667,51.54920833
11.88241667,51.54926667
11.88243611,51.54922778
11.88613611,51.549125
11.88612778,51.54911667
11.88612778,51.54911667
11.88613333,51.54911944
11.88613611,51.549125
11.88245,51.54923611
11.883502,51.547209
11.88356697,51.54721597
11.883556,51.547232
11.883293,51.54731797
11.88319697,51.547485
11.883231,51.547328
11.883354,51.54751997
11.883532,51.54710397
11.883603,51.54724397
11.88348097,51.547187
11.883459,51.54718497
11.882526,51.549263
11.882464,51.54927597
11.88265097,51.54934997
11.88275997,51.54938597
11.88273397,51.54930397
11.88274597,51.54930197
11.88259444,51.54921389
11.88482222,51.549675
11.88603889,51.54924722
11.88252222,51.54923611
11.88260278,51.54925556
11.88393333,51.54941667
11.882687,51.54931297
11.882486,51.549326
11.88247497,51.549388
11.88243889,51.54926389
11.882447,51.54923397
11.886125,51.54911667
11.88612222,51.54911667
11.88280278,51.54898333
11.883,51.54895278
11.88613333,51.54912222
11.83352222,51.51673056
11.88282778,51.54895
11.88281389,51.54893056
11.882775,51.54898333
11.8828,51.54898056
11.88608333,51.54907778
11.88608333,51.54907778
11.83352222,51.51673056
11.83352222,51.51673056
11.883725,51.54684722
11.88371667,51.54686111
11.88376389,51.54685278
11.88373056,51.54687778
11.882583,51.54893597
11.882619,51.54887997
11.88259597,51.548892
11.88273797,51.548918
11.88258897,51.54887997
11.88262897,51.54891897
11.88276944,51.54905833
11.88276944,51.54905833
11.88268333,51.54909444
11.88257778,51.54903056
11.88268056,51.54905833
11.88261389,51.54899167
11.88256667,51.54901111
11.88258889,51.54905833
11.88260278,51.54909167
11.88256667,51.54894722
11.88255833,51.54895833
11.88578333,51.54923889
11.88266389,51.54908889
11.88233056,51.54909167
11.88233611,51.5491
11.88375833,51.54698611
11.88391389,51.54592778
11.88353333,51.54701944
11.883732,51.546894
11.88357597,51.547001
11.88356897,51.54699997
11.88359997,51.547071
11.883587,51.54704797
11.88358097,51.54706697
11.883551,51.54701297
11.883589,51.547068
11.88358,51.54706197
11.883603,51.54707597
11.883622,51.54708397
11.88344997,51.547001
11.88344997,51.547001
11.883651,51.54711
11.88354297,51.547068
11.88357597,51.54705897
11.88358297,51.547065
11.883634,51.54706697
11.883634,51.547127
11.88358997,51.54712397
11.883437,51.54703297
11.883466,51.54704997
11.88352397,51.54706
11.883525,51.547069
11.883615,51.54706
11.88359497,51.54702497
11.88347597,51.547096
11.88349597,51.546993
11.88352,51.54699997
11.87935833,51.53823333
11.87936111,51.53823056
11.88355833,51.54700556
11.88361944,51.54698611
11.88368611,51.546875
11.88369722,51.54690556
11.88374722,51.54686667
11.88384444,51.54686667
11.88373056,51.54691389
11.883494,51.547054
11.88340797,51.54713
11.883575,51.547026
11.88360197,51.54701697
11.88764167,51.54390278
11.88765833,51.54389444
11.88734167,51.54376111
11.88763056,51.54388333
11.88750556,51.54378056
11.88756111,51.54396111
11.88753889,51.54401389
11.88748611,51.54396389
11.88632222,51.54297222
11.88635278,51.54298333
11.88760556,51.54386111
11.88633611,51.54291667
11.88611944,51.54295278
11.88594722,51.54271944
11.886175,51.54267222
11.8862,51.54263056
11.886125,51.54266111
11.88189167,51.54916389
11.88197778,51.54920278
11.88207222,51.54923611
11.88199444,51.54919444
11.88200556,51.54914167
11.88206111,51.54917778
11.88202778,51.54924444
11.88195556,51.54926389
11.88211389,51.54919167
11.88254722,51.54923611
11.88400278,51.54874167
11.88200833,51.54923889
11.8821,51.54918333
