Taxa	PC1	PC2	PC3	PC4	PC5
82	-4.3043666	-1.9821773	-0.01238658	1.532731	-2.0930247
83	-14.324509	10.827628	-1.0815059	2.7914171	-0.8454827
85	5.7069793	-1.2466849	0.036362015	1.467648	-0.9211772
87	2.6650238	2.2386436	-0.5019793	2.3551936	-0.6736032
88	-18.85842	17.60982	-1.7519839	3.7643409	-0.55919075
89	-1.5179763	-1.6940581	0.065869875	2.054153	-2.3639488
9	0.59795725	-1.9338584	0.34104505	2.6648853	-2.0025644
93	7.4021354	-1.4218744	0.010678344	2.0090919	-0.7414605
94	-3.9293783	4.181611	-1.1548908	-0.24160172	0.9951769
95	-7.069665	4.327697	-0.9088134	-0.04312958	0.4026402
701	3.318974	0.82402825	-1.5742793	-2.1942704	0.47501713
703	5.4171877	-0.3453409	-0.76407546	-1.503064	0.81932795
704	3.602999	0.97378576	-0.79625434	-1.9965836	0.70218515
705	1.4275573	1.0114331	-0.5745475	-1.710738	0.7578582
706	-1.9200581	4.017119	-1.0354427	-0.17061245	0.15317193
707	3.088316	0.49989316	-0.65731215	-1.2880963	0.3193935
708	-3.5734408	4.884391	-0.9789832	-0.39171845	-0.82840943
709	6.7316403	-0.7734259	-0.5184602	-0.95378095	0.30807674
712	-4.248341	5.0461607	-1.1303732	-1.2694125	0.7065222
713	-0.5419426	3.4918416	-1.3278863	-0.783746	-0.029796058
714	-1.7724085	3.69528	-0.6924178	-0.09586017	1.25132
715	1.9473674	2.6208751	-0.9805023	-0.57608813	-0.49387142
716	-0.834489	2.414885	-0.65560883	-1.2674922	-1.2943121
718	-10.837863	11.530861	-1.3623625	0.58275133	0.19043946
720	5.580666	0.36779398	-0.65082204	-1.2405455	0.6466485
722	2.0372796	0.83327097	-0.18895587	-0.54919297	-0.3149746
723	3.6401062	0.50361854	-0.97007	-0.6316443	-0.56299096
726	3.364655	-0.20821612	-0.6022409	-2.2913826	1.1416763
727	1.6527641	1.8563908	-0.70094997	-1.4698867	0.0026981963
729	-0.72924995	2.9118445	-1.0450616	-1.2613815	-0.5829188
730	0.97372615	1.2924962	-0.84098136	-1.3193978	-0.7033947
731	-3.951595	5.5172725	-1.0230862	-0.13463141	0.38139293
732	0.4049824	1.5730056	-1.2556549	-1.4043525	0.034009203
734	5.9549093	-0.5027384	-0.4701978	-1.6398499	0.6597504
735	4.2846274	0.155877	-0.9670484	-1.9717116	1.0532495
736	3.9047596	-0.23953725	-0.8532535	-1.9685956	0.7618189
739	-1.816722	2.3573115	-0.59208727	-0.27822173	-1.0599393
740	5.5688562	-0.39327773	-0.7159568	-1.3706638	0.77369505
