PC	eigenvalue	proportion of total	cumulative proportion
187	0.16199	0.00112	0.76121
188	0.16142	0.00112	0.76233
189	0.16103	0.00112	0.76344
190	0.16052	0.00111	0.76456
191	0.15984	0.00111	0.76567
192	0.15934	0.00111	0.76678
193	0.15913	0.0011	0.76788
194	0.15795	0.0011	0.76898
195	0.1574	0.00109	0.77007
196	0.15712	0.00109	0.77116
197	0.15675	0.00109	0.77225
198	0.1561	0.00108	0.77333
199	0.15536	0.00108	0.77441
200	0.15462	0.00107	0.77549
201	0.15394	0.00107	0.77656
202	0.15262	0.00106	0.77762
203	0.15197	0.00106	0.77867
204	0.15179	0.00105	0.77972
205	0.15105	0.00105	0.78077
206	0.15078	0.00105	0.78182
207	0.15024	0.00104	0.78286
208	0.14969	0.00104	0.7839
209	0.14953	0.00104	0.78494
210	0.14906	0.00104	0.78598
211	0.14809	0.00103	0.787
212	0.14741	0.00102	0.78803
213	0.14706	0.00102	0.78905
214	0.14689	0.00102	0.79007
215	0.14597	0.00101	0.79108
216	0.14561	0.00101	0.79209
217	0.1448	0.00101	0.7931
218	0.1447	0.001	0.7941
219	0.14387	9.9898E-4	0.7951
220	0.14311	9.9374E-4	0.7961
221	0.14306	9.9342E-4	0.79709
222	0.14223	9.8764E-4	0.79808
223	0.14167	9.837E-4	0.79906
224	0.14131	9.8125E-4	0.80004
225	0.14021	9.7357E-4	0.80102
226	0.13988	9.7127E-4	0.80199
227	0.13901	9.6528E-4	0.80295
228	0.13838	9.6089E-4	0.80391
229	0.13818	9.595E-4	0.80487
230	0.13778	9.5672E-4	0.80583
231	0.13617	9.4557E-4	0.80678
232	0.13608	9.4489E-4	0.80772
233	0.13497	9.3724E-4	0.80866
234	0.13494	9.3703E-4	0.80959
235	0.13465	9.3497E-4	0.81053
236	0.13397	9.3027E-4	0.81146
237	0.13385	9.2946E-4	0.81239
238	0.13373	9.2862E-4	0.81332
239	0.13317	9.2472E-4	0.81424
