log2FoldChange,p_adj,state
-0.234725657929792,0.547327893019707,NO
-1.02274286412607,0.680153312230277,NO
0.94160682031863,8.73248285819187e-53,NO
-0.584707312696288,7.46603412428203e-06,NO
1.44004870857077,1.32996701018925e-66,UP
-0.164683937423154,0.101104817685788,NO
0.514670497168246,3.74929335506283e-47,NO
-0.0920671960217939,1.58021560688654e-07,NO
-0.388996531646899,0.353123111310907,NO
-0.336431387091801,0.00471638663704566,NO
-0.881291825318631,3.34002749127581e-05,NO
0.614673051667613,9.53980164709586e-14,NO
0.563358322709604,1.19534372934088e-16,NO
-1.92955150743945,2.24276525460649e-49,DOWN
0.242522647389892,1.09806574128582e-06,NO
-1.17514774572805,1.98181853341923e-12,DOWN
-1.04909322503047,0.000146838422519462,DOWN
1.2578032362133,2.90544619547186e-77,UP
-0.254852522285236,0.566560821356561,NO
0.471431224183791,0.000379062566880292,NO
-1.30886676817762,0.000840522852845359,DOWN
-1.19617406523401,3.4031794073665e-07,DOWN
-0.549995690934002,5.34283844834275e-13,NO
-1.39733874703064,1.52575131820782e-06,DOWN
-0.633191340166834,5.91745178350144e-09,NO
-1.96483700865882,1.81820876694937e-35,DOWN
-1.43991508024073,1.04584863607377e-83,DOWN
-0.583925504255155,0.148793563511266,NO
0.141299304488656,1.2406333346045e-05,NO
0.686653585561824,1.65393444827135e-18,NO
0.719830873683537,9.70650070084946e-32,NO
-0.951398849637246,9.14651760859237e-20,NO
-0.768446299401023,0.0839345521818771,NO
0.215843894100896,1.16119628701062e-06,NO
1.48996700498327,2.58040906529747e-102,UP
0.123180276637878,2.68301273824422e-08,NO
0.058897325374302,9.71226250005075e-06,NO
-1.0851939755724,1.41712556684865e-06,DOWN
-0.95319707877116,0.000454889406571419,NO
-2.24808649382926,4.85119859298372e-82,DOWN
-0.962839671414128,2.169054898747e-06,NO
-0.549346468985808,0.0211782330529892,NO
0.950952158776565,1.47354236358971e-60,NO
0.495667696863654,6.44664111295116e-17,NO
-0.705855959376726,3.54622145438132e-07,NO
-0.107832228024766,0.000734263101263761,NO
-0.408647124809661,0.00278271369791628,NO
-0.159642231997129,0.556112171101138,NO
-0.744008320412234,0.0124682781616244,NO
-0.350419853134071,0.0529380354273037,NO
-0.975765041581048,0.000492627447011296,NO
0.63641512330971,3.61717925311219e-35,NO
1.61692622622045,1.47184542622313e-52,UP
-0.545327140155789,0.0355696377480421,NO
-0.383674666589679,2.36017966455966e-09,NO
-1.18488120179123,5.83317755955784e-08,DOWN
-0.358345592624184,0.302565072345092,NO
-0.477550063431539,8.36299782488222e-05,NO
-0.237335970731132,0.422108824749554,NO
-0.23588738031492,0.00904598125156312,NO
-0.0564554725732107,4.63779650303158e-09,NO
-0.729092050480337,0.00820065420045814,NO
-1.31770343200254,3.45262483005201e-36,DOWN
-0.478814804448969,0.181438253263403,NO
-1.01257888377032,0.646383903421834,NO
-1.23424266444525,1.13980129925751e-10,DOWN
-0.49683040909092,0.645185031906626,NO
0.800349756411526,1.02774491599457e-37,NO
-0.484285847061193,1.95567976707898e-71,NO
-1.36283804211342,9.8303013339429e-24,DOWN
-1.23383350184802,5.2328862461583e-30,DOWN
-1.76305296462377,1.39639121986857e-23,DOWN
0.151345255041456,1.79834814519844e-13,NO
-0.835919251949496,7.76407913649411e-06,NO
-0.515487048309444,0.00546772636164505,NO
-1.65194952403411,3.04167994079559e-39,DOWN
-0.230750637970261,0.377973670150625,NO
-0.0779534048653114,0.00213414102828538,NO
-1.62395093706136,1.67424979780202e-93,DOWN
-0.376275103724338,0.3897212595078,NO
-1.79400362788828,1.5447521781667e-27,DOWN
-0.549596196386041,0.00401859184086276,NO
0.466610020813495,5.53263345868373e-07,NO
0.849597171320357,2.26760767756757e-29,NO
0.547631121496257,1.21951032544532e-58,NO
-1.19050084043017,4.16872099118432e-10,DOWN
0.532896201818507,3.31610341659732e-07,NO
-0.0710273743366096,2.57608594314231e-14,NO
0.574607810673306,4.10111298250284e-07,NO
-0.927326351637005,3.65692339577842e-07,NO
0.414822904418209,1.25323055461443e-15,NO
0.326511876574143,7.36953054688267e-31,NO
0.640461831327838,1.70737942098035e-55,NO
-0.447502628406314,0.83890805187301,NO
-0.0770239256895657,0.222352367107363,NO
-0.293023152082234,0.0895641684519779,NO
-0.471835218199449,0.0428547476429285,NO
-1.17117251511907,1.34528152099248e-34,DOWN
0.148531983020058,8.87864466946056e-11,NO
-0.124780696090929,0.057209528193102,NO
0.746183174097193,2.16529383644118e-21,NO
-1.79232677737305,0.661888818702452,NO
-1.66039676082996,2.39325043512473e-12,DOWN
-0.611917183403165,0.00225390050408006,NO
-0.797956301145347,4.94887708792736e-07,NO
0.0678440340455609,3.66024313911413e-05,NO
0.45624192187688,4.08828821180361e-07,NO
-0.238121646925698,0.616116164513141,NO
-0.655234917608798,0.435539055517274,NO
-0.335027182012564,0.022858940641794,NO
-0.357117473420767,0.15675864895348,NO
-0.13449564538297,0.0165144528986394,NO
-0.313823343283991,0.656151161679043,NO
0.0166901920672708,4.16686638245363e-07,NO
-0.605979106623161,0.00135699484833986,NO
1.01413500175554,3.88177630504197e-63,UP
-0.41899843131845,0.0515547419160945,NO
-1.45516547789207,7.61032673173249e-05,DOWN
-0.188351687811782,0.184171663056715,NO
2.32416620513312,4.93080342369178e-143,UP
-1.42278097345519,7.44411942768937e-33,DOWN
0.416650395261765,4.33548064529788e-18,NO
0.421397586541795,4.28892404855996e-28,NO
-0.530219581141792,0.455324736248539,NO
0.0128843488517471,0.0515850668589605,NO
-0.864611912743757,0.0205537510358969,NO
0.499968046065964,3.1038067437712e-24,NO
0.395453534395536,1.54427052632507e-10,NO
