log2FoldChange,p_adj,state
0.935930587490968,4.6648261197625e-09,NO
1.49503784637776,4.23705269821593e-12,UP
-0.102002421350821,0.343578061861317,NO
0.552383056378597,1.48228410659869e-13,NO
-1.08603678984069,0.403430492954925,NO
-0.769921390102525,0.00635465363000525,NO
-0.417814564210287,0.0035182934193654,NO
-1.15642539448175,0.207734392629136,NO
0.238592870944874,0.204402749182563,NO
0.0706617188761332,0.0378809890092674,NO
-2.33912487824494,1.20875069743596e-13,DOWN
-0.379994601138705,0.0804979956987604,NO
-1.24463981385314,0.00212181178420776,DOWN
1.57323453099103,1.58714401659562e-21,UP
0.428314650484349,0.04715981642441,NO
0.223580952060361,0.58390261555848,NO
-1.67289643994376,0.000259309459580772,DOWN
-0.159827356475268,0.625584569366102,NO
-0.666823292102013,0.236779580473531,NO
-1.1737112637468,8.55949399267657e-08,DOWN
-1.59814822981867,2.24712286202361e-08,DOWN
-1.30817027745666,1.22562221393653e-14,DOWN
-0.273122119062478,0.620335318616302,NO
0.578162397742005,0.0172475416843271,NO
0.301605568455222,0.0682147160438995,NO
-0.0149047887249676,0.0493360317676678,NO
-1.25659033368656,2.13068682870112e-05,DOWN
-1.26383997429007,0.407196560570141,NO
-1.08065307432946,1.04172854905638e-06,DOWN
1.33316821179308,1.34469194550773e-21,UP
0.224031992590264,0.35721571493406,NO
-0.125006598444764,0.268180353940597,NO
-0.598679861934198,0.213316386455048,NO
-2.45738406384311,1.10867725897755e-23,DOWN
-0.882161756273498,0.174195478009662,NO
-0.324992530885222,0.109128529817015,NO
0.697300248488385,5.11125772439203e-11,NO
-0.137650851019757,0.0759963744951349,NO
-0.273820576012249,0.788451120345184,NO
0.062606177015909,0.644627292797658,NO
-0.184770453969998,0.117074452891191,NO
0.00361839913335918,0.257487925000272,NO
-0.53123812913004,0.167382952624542,NO
0.774847286564053,8.63058834040846e-10,NO
1.27870037755838,6.30311975136132e-10,UP
-0.68536073958019,0.22316650088044,NO
-0.337558702089761,0.000146450068095414,NO
-1.12767517625975,0.000526677538067979,DOWN
-0.242145352800988,0.711207056172998,NO
-0.400539812320585,0.683183923665071,NO
0.228843684603985,0.0122622136555082,NO
-0.415082675066066,0.605404707793644,NO
-1.09694796331712,2.13477406173559e-07,DOWN
-0.409519916609928,0.341708277111966,NO
-0.854373617749417,6.22190573364927e-06,NO
-0.231855796242226,0.000819828871543784,NO
-0.624266036982522,0.628609076861205,NO
0.46089472416952,0.00253509992693146,NO
1.57994759096828,4.08636618165214e-16,UP
-1.32606082165278,0.28482422150334,NO
-1.71486589592199,2.06755365441664e-06,DOWN
-1.8946060750408,2.90020777933971e-06,DOWN
0.271017780800185,0.00312899780265307,NO
-1.13974125231073,0.000507993953426657,DOWN
0.117291782650521,0.121645670868595,NO
-2.1337867746566,6.28439777943104e-14,DOWN
-0.251668216721508,0.521860100200974,NO
-1.47874750483659,1.51128027610871e-21,DOWN
-0.320689550918155,0.917991693864587,NO
-1.7899815949567,4.1752493669941e-11,DOWN
0.726256208557101,1.37545405088295e-05,NO
0.462195056627167,1.19832834571144e-13,NO
-1.12213411481399,0.0030054935522091,DOWN
-0.164193553795646,0.53245322826514,NO
0.0614882496565628,0.000205177022086995,NO
1.23615998498594,0.000301423461463287,UP
-0.339901175498254,0.447341255720337,NO
0.528103831023994,0.00148446719065923,NO
1.26966207754356,4.19952030130178e-16,UP
1.12681091925322,1.29616019944965e-16,UP
-0.21166340825091,0.502658713828086,NO
0.119194745916123,0.619747264526722,NO
-0.778438826605598,8.28017235387946e-08,NO
-0.249692733914427,0.58056806986467,NO
0.0839831661303878,0.0064938310311481,NO
-0.0989452856993052,0.308870548568837,NO
-1.02908795928361,0.00516140934748578,DOWN
-0.193276547492587,0.252397687726594,NO
-0.0588006786132546,0.336057477044479,NO
-0.0674261758615079,0.56977452159104,NO
-0.407424449189074,0.583696358803654,NO
0.303749567472264,0.0258094258971895,NO
-0.538218604319684,0.358931302372716,NO
-0.573701916742852,0.989196330084871,NO
-0.0122321116802512,0.0387096185539274,NO
-0.522582281404031,0.260371207803915,NO
0.744082011144951,6.34765031996835e-13,NO
-0.468955748242404,0.126422936526062,NO
-0.531745097549526,0.0652648917639374,NO
-0.649517285085632,0.524379828847363,NO
1.46615280233528,2.7055758075597e-22,UP
-1.12526318528892,8.52321979068142e-08,DOWN
-0.167358900791915,0.742045527913662,NO
0.00816636159663511,0.00705681448963979,NO
-0.70402188985565,0.190518603679932,NO
0.428740061011232,0.0804979956987604,NO
0.188914113343648,0.000214415945962081,NO
0.355148248117274,0.0169452915602972,NO
0.506024400457214,0.120046220912326,NO
0.633010329967572,1.08133580901614e-05,NO
-0.564672697507003,0.0337067380642578,NO
-1.87038947233239,0.114647424404309,NO
-0.798537639416343,0.158495466838534,NO
-0.786202349690633,0.0375525241743405,NO
-0.207645092444334,0.936510330879824,NO
-0.547722517638858,0.599716456509442,NO
-0.243946978308837,0.656311377989409,NO
0.036684671677058,0.160152415714077,NO
0.525788722181013,3.46238148256685e-07,NO
0.881468503367917,0.000105475798364255,NO
0.753030215657406,0.185705759273323,NO
-0.808430653398781,0.00703336298078028,NO
-0.353184691763538,0.598510213968465,NO
-0.772262484665223,0.0350556048945297,NO
0.1048638657385,0.0399128427935667,NO
0.839022954316099,3.45817051571004e-20,NO
0.157058678246167,0.0010738188187259,NO
0.0280647303945354,0.413466122614184,NO
-2.28548126774175,1.47462204391899e-19,DOWN
-0.678236017348416,0.0220072971581921,NO
0.494580619543614,5.82121193131428e-14,NO
1.43470663730036,1.48395117833885e-12,UP
0.407548563558243,0.000515637136840027,NO
-0.27031177663377,0.29394090762053,NO
1.3164507128071,3.05415896466144e-09,UP
0.138235398420276,0.000868856794335322,NO
0.251788781179055,0.0214516102960069,NO
-0.876991625003395,0.00789804259594916,NO
-4.20233246668004,2.16575669996324e-08,DOWN
0.220238278601853,0.000226210611548539,NO
-1.27389561638072,6.14155207183913e-05,DOWN
-0.11674129722106,0.979928392589802,NO
-0.375818921214902,0.285775835995386,NO
0.488081150888004,0.00079893009374135,NO
-0.510157469763274,0.0260229362342448,NO
0.302789965531553,0.288387676474108,NO
0.42945351403085,0.000625824505682852,NO
-0.199670363865747,0.457103580230877,NO
-1.20357117791202,0.000103440086575113,DOWN
0.0480844294649594,0.00243617067325481,NO
-0.937569281931358,0.00195310847473795,NO
-0.810254278244525,0.131012858697485,NO
0.980083662128022,1.91074614301642e-12,NO
-0.75898126939379,0.465407104110291,NO
0.79602161580014,1.60707455053866e-12,NO
-0.180669685563027,0.80661290062356,NO
0.901390184649582,2.30933760166838e-10,NO
-1.3108619564059,1.27747158179446e-07,DOWN
-1.09180156189887,0.110009128364548,NO
-0.0333759297709519,0.651921752017411,NO
0.884704061296391,1.87512225805579e-06,NO
-0.456792395858536,0.164574259977613,NO
-1.01496434634345,8.59419086821674e-09,DOWN
-0.205181873811298,0.0343180612232011,NO
-1.27644922153805,7.01871824177409e-05,DOWN
-0.0896834801932822,0.0214367738271768,NO
-2.71755348974647,2.13342718372119e-20,DOWN
-0.372048464032607,0.545926572066953,NO
0.0690914037088553,2.67743890636252e-09,NO
0.708816512510643,0.0146608745148234,NO
-0.309625161649446,0.920272927951494,NO
-0.717677443827079,0.199086934807695,NO
0.420786082032235,0.00268076095473546,NO
1.35813574552977,8.3482504660962e-27,UP
0.247634471643126,0.182224194421367,NO
