log2FoldChange,p_adj,state
-0.859537574614625,2.71240091542625e-22,NO
-0.725394682531218,2.0284072963269e-12,NO
0.129066431301612,0.15672857740154,NO
0.287386391585123,0.0325173842495914,NO
-0.604523465704561,6.82992732004867e-12,NO
-0.695932240121731,5.24811291080894e-20,NO
0.0516985404589014,0.311761243286832,NO
0.509163280026737,0.543922270173272,NO
-0.485434465793012,0.000825265899149411,NO
-0.121298994949431,0.0264837405182904,NO
1.80415562190409,3.86228711147007e-26,UP
-0.437698118308474,1.88634891064561e-06,NO
0.650141062051434,0.0999705278790136,NO
-0.121521955292295,0.00406139978941582,NO
0.62123218255569,0.00584335062047411,NO
-0.139072461063248,0.0218311248313136,NO
0.471767738873416,0.127943679350528,NO
-0.372526923543251,8.68151036296687e-31,NO
1.22212554266197,0.0289871448069224,NO
-1.59852498526686,1.03458426602385e-61,DOWN
2.00754360349231,1.06795792346426e-21,UP
0.622708508677641,1.55284885361713e-12,NO
0.533495094758165,0.634810317189045,NO
0.329952150046257,0.571677031641283,NO
-1.07092578599227,5.2885938429686e-07,DOWN
-0.739662954200692,9.77704672170377e-17,NO
0.719827660769545,1.17815547423074e-07,NO
0.678183877337719,0.09417651814047,NO
0.216883803316695,0.0054534844073235,NO
-0.623568027410587,1.93550574968584e-06,NO
0.0304283999570932,0.51754869171571,NO
-0.167787727033857,0.00246692372337268,NO
0.936099155808498,0.000551362326061724,NO
0.651080163052311,0.00765930483486689,NO
1.7094635170383,3.27265265458655e-12,UP
-0.0313779163420452,0.467443406945904,NO
-0.740023647799424,5.27001029463788e-16,NO
-0.337974556938348,5.08973129101808e-06,NO
0.972781827718258,1.64892949547941e-08,NO
0.114168039409748,0.00569212184940476,NO
0.576349944313365,0.559571867538207,NO
0.925936067561843,0.00186895506454507,NO
0.458367020951218,0.487339504651399,NO
0.472678198132662,0.0224102818230766,NO
-1.09641169841626,6.7568927817452e-24,DOWN
-0.387642948081004,0.0022314993656163,NO
0.682232981708311,0.00394298155934042,NO
-0.129461681191223,0.00314726623450591,NO
0.680397741600324,2.51737807725245e-13,NO
-0.0305486909603754,0.0415347577490262,NO
0.17730279186362,0.86035927137222,NO
1.12577732718657,9.90250377579896e-09,UP
0.834196177526747,2.89279741233339e-08,NO
0.631138827355841,0.000202229004608495,NO
-0.270908212809943,1.44787019207217e-16,NO
1.04671173648698,0.00681606838755222,UP
0.119790037032943,0.810921345920342,NO
-0.676491645381862,1.39385424819743e-11,NO
2.26088992996975,0.0158117831746115,NO
1.67077891038069,8.12441612053941e-28,UP
0.357819430733737,1.60948107669451e-16,NO
-0.314546714313884,0.817491132134703,NO
0.397300759766644,0.611661743289506,NO
-0.586327771585073,2.46103036123976e-11,NO
1.15087863668113,3.30421120444596e-08,UP
-0.219208456253643,0.0242670579218077,NO
0.5609214826928,0.73932131326471,NO
0.624534409709531,8.91377126318084e-08,NO
0.292008694765347,0.897546723916017,NO
0.1130283836197,0.124414312850226,NO
-0.374509606599106,1.41997954810097e-05,NO
0.0315336944826739,0.949987242332941,NO
0.906223259568483,0.0227501996013613,NO
-2.21099047829172,5.31687079934107e-51,DOWN
-0.227478226065768,0.208845882217819,NO
-0.153210861073442,0.204090764954459,NO
0.970401800780606,1.953111170635e-05,NO
-0.315933702951047,0.000694856224551079,NO
0.884457060708767,0.0015614773270478,NO
-0.0647140982199752,3.30565523604492e-05,NO
0.53868354723093,0.023655388508691,NO
0.725307762416672,0.0409273089589919,NO
1.17680295442931,1.48980310005089e-14,UP
0.196918374737755,0.912222217030672,NO
-0.269986904921018,0.0557396625310634,NO
0.890224883293863,0.246718055434828,NO
0.52923100536043,0.621796001287756,NO
-0.0647044805063383,0.144703286041785,NO
-0.974166003301737,8.13128604600151e-12,NO
0.959034583641987,0.00122177242486575,NO
0.785198217779343,0.70033083913635,NO
0.404172406288824,0.13533141484953,NO
0.131591329942768,0.411254748272894,NO
0.76666685699547,0.00523370863856847,NO
-0.259105206516297,2.40785915120747e-09,NO
0.520193737141853,0.243963937139103,NO
-0.572433745912567,5.02376448046429e-12,NO
0.197801557637967,0.949442081529329,NO
1.9936988098824,0.0146290009587092,NO
0.79719819209285,0.204090764954459,NO
-1.67200426105502,2.20871993844466e-26,DOWN
0.66527584451452,0.0052978646516165,NO
-1.29995649292978,1.15451742189414e-40,DOWN
-1.10090961827204,6.89536185020241e-38,DOWN
0.189631129981478,0.73768827907984,NO
0.581869215565481,0.176705450488171,NO
-1.00409714114493,1.79471002095466e-07,DOWN
-0.0569582224411741,0.406379838026122,NO
0.281617875381348,0.436751658617268,NO
0.354819831026018,0.962533732146538,NO
0.354630122721415,0.918256584434007,NO
0.0218951096648621,0.550037354586747,NO
-0.0312849190686498,0.872431502185902,NO
0.752429486922879,0.0502595122420608,NO
0.509257186257005,0.0945445481493914,NO
0.663045529820106,2.03086248335652e-05,NO
0.0911011163977691,0.0132402419417121,NO
0.601777128745889,0.412717666736709,NO
-0.20979140650732,2.79087879306569e-05,NO
0.00885375684507642,0.502668646721029,NO
0.836040965774426,0.00845734367018876,NO
-0.52126791615478,1.1664319882024e-05,NO
0.86952912568489,2.60178090286831e-05,NO
-0.16061288774407,4.95127305605538e-06,NO
0.0803151842597493,0.00126268535704191,NO
0.313407662166707,0.909930073502028,NO
0.74496468885991,0.00378688993089852,NO
-0.0503408340682365,0.113313960487774,NO
0.902266924618959,1.5174885736873e-06,NO
0.531909533828671,0.218011215187836,NO
-0.252881227995638,0.258413952676023,NO
