Gene,log2FoldChange,p_adj,state
AT5G67385,-1.13946809708354,7.05288430885155e-16,DOWN
AT2G15290,-1.1412525570179,5.76596963999532e-24,DOWN
AT1G44446,-1.14199500671127,4.08280706250755e-26,DOWN
AT4G13590,-1.14324519644338,1.60053777989407e-05,DOWN
AT4G25100,-1.14337087053992,2.88414618715493e-24,DOWN
AT5G44670,-1.14370028153541,2.19172534822614e-20,DOWN
AT5G53480,-1.14393110545555,2.45361800991624e-09,DOWN
AT3G21670,-1.14607980414777,2.18918791094174e-32,DOWN
ATCG00420,-1.1468397032936,1.15296576065133e-12,DOWN
AT1G20010,-1.14800365713653,7.06197705618436e-25,DOWN
AT2G15020,-1.14977695423588,1.17257780564639e-55,DOWN
AT5G44650,-1.15103331795367,4.17086451971596e-28,DOWN
AT3G15030,-1.15371709843564,6.60949330422123e-18,DOWN
AT5G61660,-1.15436169676625,1.03557261715988e-26,DOWN
AT5G23850,-1.15463653066089,4.30831473092851e-16,DOWN
AT1G75750,-1.15603649251803,7.72031221359284e-28,DOWN
AT2G35290,-1.15608416288012,2.49737165316817e-28,DOWN
AT2G23670,-1.15704486918858,9.81298778232096e-33,DOWN
AT1G60950,-1.15754275995858,1.28703049513436e-41,DOWN
AT4G37925,-1.1577635301396,1.65270148564911e-28,DOWN
AT4G14690,-1.16032749477559,4.14405061025906e-26,DOWN
AT1G28290,-1.16121515004813,2.39819902311496e-18,DOWN
AT1G20810,-1.16318932236442,1.87606193523985e-13,DOWN
AT4G24540,-1.16679932178173,6.583850091841e-13,DOWN
AT3G04790,-1.16745880088194,1.52066555363015e-30,DOWN
AT4G12000,-1.16775880011856,1.91463325336546e-23,DOWN
ATCG00090,-1.16793952996996,1.7092553751823e-06,DOWN
AT1G70640,-1.17142852799859,1.65330886654024e-32,DOWN
AT3G57260,-1.17512722494355,8.8684908072577e-20,DOWN
AT2G02130,-1.17578931296325,4.67057264999603e-29,DOWN
AT3G12920,-1.176391690898,1.98151396740878e-15,DOWN
AT3G15360,-1.17842677018835,1.75932824476718e-35,DOWN
AT5G42650,-1.18059415453191,5.64219691153026e-41,DOWN
AT4G26690,-1.18528528111592,1.93997548257126e-07,DOWN
ATCG00560,-1.18652391050132,3.08362996694738e-17,DOWN
AT1G21460,-1.18785806623743,1.59332703175233e-19,DOWN
AT5G08760,-1.18988352615469,3.32286941914609e-32,DOWN
AT1G72640,-1.19056178869139,3.31157906148117e-13,DOWN
AT1G44000,-1.19124435285957,3.7697335190861e-19,DOWN
AT3G45970,-1.19297261033618,3.90244190317438e-26,DOWN
AT3G52960,-1.19721908453896,9.62580746582993e-35,DOWN
AT4G17770,-1.19853294825986,4.24299743601253e-10,DOWN
AT1G30360,-1.1992029548165,4.27701830817511e-22,DOWN
AT3G21760,-1.20328926868227,2.02817020042996e-27,DOWN
AT1G74730,-1.20407470779535,2.52071855149507e-27,DOWN
AT3G47430,-1.20577658581645,3.47956454275412e-32,DOWN
AT1G75350,-1.20763461628599,4.43160187443047e-37,DOWN
AT4G24770,-1.20817291225914,7.97538375192397e-48,DOWN
AT4G09650,-1.20914747514269,2.7987084086832e-43,DOWN
AT4G39210,-1.21036815014611,2.97529342346373e-28,DOWN
AT5G55710,-1.21064245346965,1.19583099451646e-06,DOWN
AT2G28180,-1.21151413821485,2.3601557337482e-10,DOWN
AT5G33125,-1.21258566115888,2.19686922238731e-12,DOWN
AT1G74970,-1.21452748996593,2.33449235815683e-43,DOWN
AT1G64890,-1.21600760003331,2.44731777013451e-13,DOWN
AT2G27680,-1.21772537909319,9.70134074508826e-35,DOWN
AT1G32550,-1.2185851007594,4.99343447279734e-18,DOWN
AT3G26650,-1.22005849411642,3.61053746476114e-46,DOWN
AT3G54050,-1.22082825235165,2.05532974058203e-50,DOWN
AT5G48300,-1.22126795692004,3.77812722422387e-38,DOWN
AT4G26530,-1.22279721946988,1.46787021791042e-42,DOWN
AT1G10760,-1.22296496576955,2.77421747853215e-47,DOWN
AT1G58290,-1.22480724228855,1.19169879231303e-25,DOWN
AT3G03770,-1.22582539217974,1.35528420225977e-27,DOWN
AT2G20570,-1.22960381996966,9.53514183116225e-41,DOWN
AT2G05310,-1.22981883175427,4.56214577244046e-20,DOWN
AT2G46430,-1.23076122907715,1.14716749102438e-28,DOWN
AT2G35260,-1.23398387558455,1.67591819050893e-18,DOWN
AT3G52840,-1.23794724774026,1.41327248692512e-27,DOWN
ATCG00490,-1.24252310165246,1.98468957575533e-22,DOWN
AT4G04020,-1.24270336571735,1.86444092124166e-47,DOWN
AT2G47590,-1.2437261337634,3.68908100549884e-30,DOWN
AT1G21270,-1.24723932970361,1.23791136737332e-26,DOWN
AT4G05020,-1.25021801386403,7.93817164401664e-34,DOWN
AT1G19050,-1.25118669270989,9.4617851845545e-12,DOWN
AT1G13820,-1.25144512314948,1.52593704822227e-14,DOWN
AT2G29360,-1.25467924563819,1.31153971420821e-21,DOWN
AT1G54780,-1.25487667047463,5.73209518869717e-38,DOWN
AT3G49720,-1.25516180197752,1.30997612786364e-28,DOWN
AT3G04910,-1.25546934497148,2.33932985725959e-16,DOWN
AT3G05500,-1.25575438960956,1.8915267246934e-46,DOWN
AT4G25080,-1.25757331268353,3.03125775238694e-35,DOWN
AT2G32680,-1.25860154616412,1.77237610461954e-25,DOWN
AT1G70550,-1.25964238253912,5.26899345983612e-25,DOWN
AT5G44510,-1.25968958314146,8.96403423684915e-22,DOWN
AT5G14920,-1.26163824426986,1.65286991782362e-12,DOWN
AT5G16200,-1.26176792417518,3.05948980828663e-20,DOWN
AT5G49480,-1.26493464272868,3.14315809236164e-52,DOWN
AT4G12130,-1.26689668419709,3.20881719435058e-08,DOWN
AT2G21330,-1.26750023223764,2.12499005563254e-49,DOWN
AT3G09540,-1.26874124816605,8.64956777752831e-21,DOWN
AT3G45260,-1.27011324440127,1.22093864862874e-19,DOWN
AT5G57660,-1.27046883536018,3.37062445078856e-64,DOWN
AT3G51600,-1.27089033121597,4.05972390540613e-48,DOWN
AT2G31070,-1.27486945677222,2.18726130216913e-14,DOWN
AT2G47450,-1.27569971169877,3.35035284465673e-19,DOWN
AT1G04420,-1.2764913861333,1.41315739225578e-21,DOWN
AT2G01590,-1.27659379623905,3.93547403442629e-18,DOWN
AT4G01150,-1.27885495471606,4.54332623960568e-60,DOWN
AT2G44670,-1.27960379719719,1.34446769697558e-23,DOWN
AT5G62350,-1.28425241677092,1.41452154151144e-46,DOWN
AT5G44020,-1.28569307530159,1.6215611068306e-15,DOWN
AT1G27200,-1.28672817238712,2.32049177982933e-42,DOWN
ATCG00140,-1.28794342982693,4.91204708821992e-09,DOWN
AT5G59250,-1.29381277862417,4.80828833256235e-22,DOWN
AT5G06980,-1.29880876941111,8.40169361077318e-37,DOWN
AT1G03630,-1.29995649292978,1.15451742189414e-40,DOWN
AT5G46800,-1.30199455427714,8.90701320062707e-36,DOWN
AT1G07280,-1.30619633079669,2.23592413462927e-35,DOWN
AT3G52380,-1.31008620621312,1.40972848516704e-08,DOWN
AT2G35370,-1.31286427891582,6.28792507162048e-47,DOWN
AT1G78070,-1.31301404950489,2.23773644371399e-42,DOWN
AT1G20020,-1.31313974611968,8.6823209854256e-34,DOWN
AT5G59480,-1.31637135024922,6.34326508205782e-14,DOWN
AT3G56290,-1.31706593928626,4.77809863867216e-42,DOWN
AT1G73480,-1.318217978882,1.08854117730115e-36,DOWN
AT4G33470,-1.31924019516489,8.29833157348097e-19,DOWN
AT1G13260,-1.32533922694959,1.26823648278207e-14,DOWN
AT5G44565,-1.32931207325069,6.11541204369221e-25,DOWN
AT3G27830,-1.33200040427029,1.56721731651529e-30,DOWN
AT3G56910,-1.33231062773327,2.1606839091752e-27,DOWN
AT1G67856,-1.33247488419399,1.31962634721401e-23,DOWN
AT5G09870,-1.33575842705842,8.7480514130325e-30,DOWN
AT3G44450,-1.33823959704737,1.36728742036337e-34,DOWN
AT5G10410,-1.3445522282352,6.2879726254543e-42,DOWN
AT2G46820,-1.34768028937241,3.34782086441528e-44,DOWN
AT4G01310,-1.34952444753913,1.37847718808017e-45,DOWN
ATCG00470,-1.35173308167263,2.07422939024643e-27,DOWN
AT1G32060,-1.3549871627573,1.05311317717084e-60,DOWN
AT1G75040,-1.35514415384958,5.81026574988295e-31,DOWN
AT1G61800,-1.35689144774228,3.40827838788082e-31,DOWN
AT2G43030,-1.35919760442028,1.57085681068742e-44,DOWN
AT5G58260,-1.36085491423335,5.02397801539439e-25,DOWN
AT3G44890,-1.36203745585328,1.04927583674973e-28,DOWN
AT3G18890,-1.36625926351065,1.61952515859771e-24,DOWN
AT2G33450,-1.36782334817309,7.6927254001337e-36,DOWN
ATCG00330,-1.36833433009824,6.204376929197e-20,DOWN
AT4G02770,-1.370441324104,1.28170094081612e-39,DOWN
AT1G64980,-1.37979168984381,5.61466163895002e-26,DOWN
AT1G76100,-1.38267959766467,2.91058941310555e-19,DOWN
AT1G10410,-1.38353687920072,2.49519462274685e-33,DOWN
AT5G17600,-1.38942983689992,6.7467043136184e-35,DOWN
AT5G06290,-1.39500365692883,2.52867510628962e-32,DOWN
AT3G23050,-1.39505767371147,4.70024284895897e-17,DOWN
AT2G46830,-1.39792662183169,1.13894906468113e-44,DOWN
AT4G32540,-1.40349592082599,0.00539675256926422,DOWN
AT2G38140,-1.40468402612911,3.43731603343789e-43,DOWN
AT5G47190,-1.40488579643735,9.32490269923458e-28,DOWN
AT3G09570,-1.41220063906733,0.0048762280620337,DOWN
AT3G50820,-1.41477117178913,4.25618687416372e-36,DOWN
AT5G46110,-1.41662910580003,3.87559122146165e-41,DOWN
AT3G16140,-1.41740566516006,2.13899495551871e-26,DOWN
AT2G17840,-1.4176793927832,6.51465255465598e-44,DOWN
AT4G27440,-1.41770420383357,8.18136465703671e-13,DOWN
AT1G32010,-1.41806038328311,1.96165059166261e-07,DOWN
AT4G27720,-1.41926992054857,1.38336374023809e-22,DOWN
ATCG00740,-1.41981982802702,1.05438283384654e-42,DOWN
AT1G75180,-1.42350639924543,3.83224632477479e-35,DOWN
AT1G67740,-1.42657562513481,1.85745236513444e-49,DOWN
AT2G31400,-1.42748095737473,2.77971900889443e-14,DOWN
AT3G55800,-1.43180461604014,3.89656143025535e-47,DOWN
AT5G15650,-1.43282192773565,1.57718496212021e-55,DOWN
AT3G19720,-1.43374481597947,1.28566912923152e-19,DOWN
AT3G15110,-1.43604261626674,7.05668624597884e-19,DOWN
AT4G28150,-1.44248955096391,6.0156168726808e-21,DOWN
AT1G18060,-1.44435710596384,5.27247025599618e-32,DOWN
AT4G02420,-1.44704967621795,1.36424762435747e-28,DOWN
AT5G14660,-1.44904729154613,1.3702102804556e-25,DOWN
AT5G58250,-1.45032233142207,1.51958669109756e-33,DOWN
AT4G28750,-1.45073012824577,1.82415406696064e-35,DOWN
AT1G35720,-1.45091711695216,1.68913306590025e-35,DOWN
AT5G51820,-1.4565406978541,1.2786964336682e-25,DOWN
AT4G18480,-1.46129554278533,8.87545710350836e-33,DOWN
AT4G39800,-1.4631161850402,3.80359192110585e-53,DOWN
AT3G19680,-1.46480185180698,5.17050366775935e-26,DOWN
AT5G28210,-1.46570593515085,0.00346429316253156,DOWN
AT1G19670,-1.46927984298401,1.84456274649996e-27,DOWN
AT1G70090,-1.47058864447301,2.37159234183183e-24,DOWN
AT5G13630,-1.47310618912287,2.12054253898419e-53,DOWN
AT3G55030,-1.47471647587098,5.99920932145045e-13,DOWN
AT1G11210,-1.47561122625891,7.51672904110162e-65,DOWN
AT1G10370,-1.47809692892673,4.15224601985669e-44,DOWN
AT2G04039,-1.4796494907695,3.21851792298746e-29,DOWN
AT1G46768,-1.4812223624177,2.14740119660076e-33,DOWN
AT1G07180,-1.48452955600747,6.69067734250635e-17,DOWN
AT5G52540,-1.48608083298032,1.13832298554593e-29,DOWN
AT4G02530,-1.48730900762672,2.18549079156629e-39,DOWN
AT5G19250,-1.48783356319756,7.23632696479652e-50,DOWN
AT1G52410,-1.48972466140962,1.78377846621282e-28,DOWN
AT4G20170,-1.49041981283424,6.2711109035267e-32,DOWN
AT5G16010,-1.49553831367503,6.68623971637689e-46,DOWN
AT1G68590,-1.49727658618843,1.74429715710382e-21,DOWN
AT2G14610,-1.50625058985562,2.4939657384374e-33,DOWN
AT5G53490,-1.50729805404908,2.71563187666152e-21,DOWN
AT3G51100,-1.50798981366483,9.58007781400085e-05,DOWN
AT1G09310,-1.51525258504225,3.68353391259753e-57,DOWN
AT1G60190,-1.51715549845694,7.97625011639673e-48,DOWN
AT1G22630,-1.51746845147867,8.86478811877354e-20,DOWN
AT5G13100,-1.52297041401041,1.69050254105377e-33,DOWN
AT3G46970,-1.52616788499536,2.95953299118496e-48,DOWN
AT2G45180,-1.52966529828902,6.29270982223347e-32,DOWN
AT3G56090,-1.53408744662497,2.19004439506676e-34,DOWN
AT4G19120,-1.53503288617222,1.51023145516878e-18,DOWN
AT5G64850,-1.5379426515989,7.7408127879115e-44,DOWN
AT4G16490,-1.53904439588924,3.60566281539487e-63,DOWN
AT4G21360,-1.53953888872751,4.21572173165565e-05,DOWN
AT3G54210,-1.53979224127258,2.7481380466346e-56,DOWN
AT1G62780,-1.54206261431026,4.94384247310367e-29,DOWN
AT4G33200,-1.54381483964915,0.000497123960611602,DOWN
AT1G64500,-1.54541577038399,4.75056466201534e-46,DOWN
AT3G25920,-1.54568386900936,1.26164448904893e-31,DOWN
AT3G27850,-1.54681714122701,6.57376948728016e-44,DOWN
AT3G29782,-1.55620285188764,0.000779666374874266,DOWN
AT1G31580,-1.556575267291,5.51212615728504e-26,DOWN
AT2G24090,-1.56126805700892,2.31915378151471e-41,DOWN
AT5G66570,-1.56637279359939,2.56749225387523e-74,DOWN
AT4G32260,-1.56639520211622,1.46231695489669e-69,DOWN
AT2G29630,-1.56759630139531,1.31399032338252e-48,DOWN
ATCG00380,-1.56877696811164,2.77921855561e-29,DOWN
AT3G01480,-1.57109902967865,6.71353606346675e-31,DOWN
AT5G24300,-1.57223022585696,3.07372363652248e-50,DOWN
AT5G24060,-1.57451047987649,4.02804577809109e-27,DOWN
AT3G23000,-1.57758019167373,4.24547763142773e-49,DOWN
AT3G17800,-1.58110949497227,1.92827766604822e-38,DOWN
AT1G09340,-1.5862098994073,7.3489662005276e-48,DOWN
AT4G04640,-1.59493682680224,1.18262463482865e-56,DOWN
AT3G22231,-1.59506633358228,7.98462747263262e-55,DOWN
AT5G25110,-1.59696664083123,9.50439944956678e-38,DOWN
AT1G01470,-1.59852498526686,1.03458426602385e-61,DOWN
AT1G48350,-1.6049713131586,1.77611928403476e-11,DOWN
AT3G12320,-1.60791838139638,1.88111349080699e-36,DOWN
AT2G47440,-1.61099858524979,3.93959267251006e-25,DOWN
AT5G35630,-1.61421062695471,3.29314129152456e-58,DOWN
AT1G15330,-1.616419376753,0.00541859695604443,DOWN
AT3G02830,-1.62104493996088,1.57375127366028e-41,DOWN
AT1G42970,-1.6268218124676,5.01555581556205e-61,DOWN
AT2G28550,-1.63234673920657,3.25489262657999e-43,DOWN
AT2G39870,-1.635836250429,0.00114879861206014,DOWN
AT1G63220,-1.64256369565404,2.85126989284033e-51,DOWN
AT3G09735,-1.64259705219744,1.52998597082777e-15,DOWN
AT5G01340,-1.64470536029868,3.24764103788599e-39,DOWN
AT5G42570,-1.64688580481577,9.85640335149461e-55,DOWN
AT5G42530,-1.64730094005221,2.58099408796112e-41,DOWN
AT4G27560,-1.6499265138217,3.81574652163016e-50,DOWN
